TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,0,2,3,1.0,0.0,4.05465,2.0,0,5.68524,low,1.63059,1.36941,6.21399,10.8076,10.8078,12.82,8.76538,12.8204,14.8022
2,2,0,2,3,3,3.5,0,1.0,1.0,14.8276,3.0,0,17.4054,low,2.57784,0.422162,17.9307,23.0701,23.0703,25.0669,10.2393,25.0672,28.0776
3,3,0,2,4,3,2,0,1.0,2.0,28.0922,2.0,3,30.8928,high,2.80061,0.19939,31.424,34.848,34.8544,36.8604,8.76818,36.8607,40.8383
4,4,0,2,2,0,0.5,3,1.0,3.0,40.86,2.0,0,43.5133,low,2.65325,0.346745,44.0455,46.0954,46.0956,48.1078,7.24779,48.1081,50.1202
5,5,1,1,2,0,0.5,3,1.0,4.0,50.1337,3.0,3,51.6991,high,1.56542,1.43458,52.234,55.3929,55.399,57.4209,7.28725,57.4212,59.3865
6,6,0,1,4,3,0.5,0,1.0,5.0,59.4051,2.0,3,60.9685,high,1.5634,1.4366,61.5008,64.6593,64.6645,66.6716,7.26651,66.6719,70.6496
7,7,1,3,2,3,0.5,0,1.0,6.0,70.6694,2.0,3,72.3219,high,1.65251,1.34749,72.8571,75.9223,75.9276,77.9347,7.26526,77.935,79.9325
8,8,1,3,4,3,2,0,1.0,7.0,79.9481,2.0,3,82.0416,high,2.09349,0.906505,82.5767,86.7028,86.703,88.7152,8.76707,88.7155,92.6932
9,9,1,3,2,0,0.5,3,1.0,8.0,92.7162,3.0,3,94.0116,high,1.29533,1.70467,94.5427,97.9659,97.9661,99.9782,7.26198,99.9785,101.959
10,10,0,1,3,0,0.5,3,1.0,9.0,101.973,3.0,3,103.965,high,1.9921,1.0079,104.494,107.217,107.222,109.229,7.25629,109.229,112.224
11,11,1,2,2,3,0.5,0,1.0,10.0,112.249,999.0,999,115.251,999,0.0,0.0,115.284,117.512,999.0,999.0,886.751,119.541,121.49
12,12,0,1,2,3,2,0,1.0,11.0,121.504,2.0,3,122.754,high,1.24962,1.75038,123.277,128.261,128.266,130.273,8.76898,130.273,132.254
13,13,1,1,4,0,0.5,3,1.0,12.0,132.272,3.0,3,134.107,high,1.83481,1.16519,134.633,137.527,137.533,139.539,7.26708,139.54,143.534
14,14,1,3,3,0,3.5,3,1.0,13.0,143.552,3.0,3,144.844,high,1.29128,1.70872,145.367,151.817,151.823,153.83,10.2774,153.83,156.794
15,15,0,3,4,3,2,0,1.0,14.0,156.817,2.0,3,158.248,high,1.43147,1.56853,158.783,163.564,163.569,165.576,8.75976,165.577,169.57
16,16,1,2,2,3,2,0,1.0,15.0,169.588,2.0,3,170.935,high,1.34696,1.65304,171.465,176.34,176.345,178.353,8.76484,178.353,180.334
17,17,1,1,4,0,3.5,3,1.0,16.0,180.355,3.0,3,182.155,high,1.79999,1.20001,182.682,188.602,188.607,190.63,10.2749,190.63,194.608
18,18,0,3,4,0,0.5,3,1.0,17.0,194.626,3.0,3,196.076,high,1.44977,1.55023,196.597,199.88,199.886,201.893,7.26691,201.893,205.872
19,19,0,1,4,3,0.5,0,1.0,18.0,205.893,3.0,0,207.963,low,2.07003,0.929973,208.485,211.129,211.129,213.141,7.24875,213.142,217.151
20,20,0,2,4,0,2,3,1.0,19.0,217.175,2.0,0,219.099,low,1.92472,1.07528,219.623,223.921,223.921,225.933,8.75857,225.933,229.911
21,21,0,3,2,3,2,0,1.0,20.0,229.938,2.0,3,231.286,high,1.34773,1.65227,231.822,236.681,236.682,238.694,8.75573,238.694,240.691
22,22,1,2,4,0,2,3,1.0,21.0,240.715,3.0,3,241.89,high,1.17418,1.82582,242.414,247.461,247.466,249.473,8.75799,249.474,253.451
23,23,1,1,2,3,0.5,0,1.0,22.0,253.472,2.0,3,256.177,high,2.70519,0.294812,256.704,258.724,258.729,260.752,7.28014,260.752,262.718
