TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.02301,2.0,3,6.13031,high,2.10731,0.892695,6.66282,12.2858,12.2913,14.2982,10.2751,14.2986,16.2647
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.2824,3.0,3,17.5003,high,1.2179,1.7821,18.0359,21.5375,21.5377,23.5499,7.26741,23.5502,27.5278
3,3,0,3,4,0,2,3,1.0,2.0,27.5466,3.0,3,29.1371,high,1.59057,1.40943,29.6728,34.2981,34.3032,36.3261,8.77955,36.3264,40.2884
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3131,3.0,0,42.7574,low,2.44428,0.555719,43.2914,45.5612,45.5614,47.5736,7.2605,47.5739,49.5548
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.5732,3.0,0,51.7605,low,2.18728,0.812722,52.2924,57.8227,57.8228,59.835,10.2618,59.8353,61.8162
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8395,2.0,0,63.8477,low,2.00815,0.991852,64.3824,67.089,67.0891,69.1013,7.2618,69.1016,72.0809
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.0977,2.0,0,73.8505,low,1.75283,1.24717,74.382,77.338,77.3382,79.3514,7.25372,79.3517,83.345
8,8,1,3,2,0,2,3,1.0,7.0,83.3633,3.0,3,84.6871,high,1.32379,1.67621,85.2094,90.0997,90.1052,92.1277,8.76438,92.128,94.1089
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.133,3.0,0,96.524,low,2.39101,0.608989,97.0498,99.3816,99.3818,101.394,7.26101,101.394,103.375
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.396,3.0,3,104.877,high,1.48034,1.51966,105.411,108.648,108.653,110.66,7.26411,110.661,114.638
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.655,3.0,3,115.212,high,0.557094,2.44291,115.738,119.895,119.901,121.908,7.25241,121.908,123.905
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,123.926,2.0,3,126.566,high,2.63952,0.36048,127.095,129.177,129.177,131.19,7.26329,131.19,133.171
13,13,1,1,2,0,2,3,1.0,12.0,133.191,3.0,3,135.986,high,2.79447,0.205531,136.517,139.941,139.947,141.954,8.76218,141.954,143.936
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,143.953,2.0,0,146.422,low,2.46973,0.530267,146.955,149.193,149.193,151.205,7.25277,151.206,155.199
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.217,3.0,3,156.629,high,1.41141,1.58859,157.157,160.471,160.477,162.499,7.28213,162.5,165.463
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.488,2.0,3,167.312,high,1.82426,1.17574,167.842,170.736,170.742,172.749,7.26093,172.749,175.728
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.75,3.0,3,178.265,high,2.51508,0.484922,178.793,181.001,181.006,183.013,7.26312,183.014,185.01
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.034,999.0,999,188.034,999,0.0,0.0,188.068,193.278,999.0,999.0,813.966,195.306,198.285
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.304,2.0,3,200.072,high,1.76791,1.23209,200.602,203.558,203.563,205.571,7.26679,205.571,207.568
20,20,1,3,4,0,2,3,1.0,19.0,207.591,3.0,3,208.674,high,1.083,1.917,209.199,214.339,214.344,216.367,8.77538,216.367,220.345
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.36,3.0,3,222.495,high,2.13504,0.864959,223.02,225.617,225.622,227.63,7.26965,227.63,229.611
22,22,0,1,4,3,2,0,1.0,21.0,229.632,999.0,999,232.648,999,0.0,0.0,232.676,236.381,999.0,999.0,769.368,238.394,242.387
23,23,0,1,4,0,2,3,1.0,22.0,242.405,2.0,0,243.201,low,0.796218,2.20378,243.737,249.157,249.158,251.17,8.7647,251.17,255.148
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.172,2.0,3,256.505,high,1.33311,1.66689,257.028,260.421,260.426,262.433,7.26072,262.433,264.43
25,25,0,1,4,3,2,0,1.0,24.0,264.443,2.0,3,265.741,high,1.29811,1.70189,266.263,271.201,271.207,273.229,8.78565,273.229,277.191
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.21,3.0,3,279.029,high,1.8192,1.1808,279.555,282.464,282.464,284.477,7.26696,284.477,288.47
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.487,3.0,3,289.932,high,1.44492,1.55508,290.459,293.743,293.749,295.771,7.2836,295.771,298.735
28,28,1,2,2,0,2,3,1.0,27.0,298.749,3.0,3,301.636,high,2.8861,0.113897,302.159,305.505,305.505,307.517,8.76798,307.518,309.514
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.536,2.0,3,310.622,high,1.08552,1.91448,311.145,314.787,314.787,316.799,7.26327,316.8,318.796
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.81,999.0,999,321.824,999,0.0,0.0,321.857,324.069,999.0,999.0,680.19,326.097,330.059
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,330.079,3.0,3,331.328,high,1.24848,1.75152,331.861,338.328,338.334,340.34,10.2611,340.341,342.337
32,32,0,3,2,3,2,0,1.0,31.0,342.363,2.0,3,343.615,high,1.25176,1.74824,344.139,349.123,349.128,351.136,8.77254,351.136,353.117
33,33,1,3,4,3,2,0,1.0,32.0,353.132,2.0,3,354.235,high,1.10234,1.89766,354.763,359.887,359.892,361.899,8.76709,361.9,365.893
34,34,1,1,2,3,3.50E+00,0,1.0,33.0,365.906,2.0,3,367.255,high,1.34884,1.65116,367.788,374.161,374.167,376.173,10.2668,376.174,378.154
35,35,0,1,2,3,5.00E-01,0,1.0,34.0,378.165,3.0,0,379.826,low,1.66093,1.33907,380.347,383.412,383.412,385.424,7.25921,385.424,387.421
36,36,0,3,4,3,3.50E+00,0,1.0,35.0,387.439,2.0,3,388.711,high,1.27185,1.72815,389.238,395.689,395.694,397.701,10.262,397.701,401.68
