TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.03227,3.0,3,5.82664,high,1.79437,1.20563,6.36034,9.28479,9.29013,11.2972,7.2649,11.2976,15.2751
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.301,2.0,3,16.6794,high,1.37844,1.62156,17.2017,20.5479,20.5534,22.5603,7.25929,22.5606,24.557
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.5782,3.0,3,25.8827,high,1.30449,1.69551,26.4059,29.8142,29.8197,31.8421,7.26397,31.8424,35.8357
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8525,3.0,3,37.2694,high,1.41689,1.58311,37.7936,41.1084,41.1137,43.1208,7.26831,43.1211,45.102
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1279,2.0,3,46.8218,high,1.69393,1.30607,47.3561,50.3747,50.3796,52.3871,7.25925,52.3874,54.3693
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3925,3.0,3,55.8078,high,1.41529,1.58471,56.3427,62.6372,62.6425,64.6651,10.2726,64.6654,68.6432
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6712,3.0,4,69.7791,high,1.1079,1.8921,70.3045,76.9266,76.9322,78.9546,10.2834,78.9549,80.9201
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.9422,2.0,0,82.9331,low,1.99096,1.00904,83.4553,86.1929,86.1931,88.2053,7.26315,88.2056,92.1833
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.2052,3.0,0,94.2365,low,2.03126,0.96874,94.765,97.456,97.4562,99.4684,7.26314,99.4687,101.465
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.479,2.0,3,103.239,high,1.75969,1.24031,103.766,106.722,106.727,108.735,7.25564,108.735,112.728
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.745,3.0,0,115.026,low,2.28093,0.719068,115.56,118.002,118.002,120.014,7.26919,120.015,121.996
12,12,0,2,3,0,2,3,1.0,11.0,122.018,3.0,3,124.095,high,2.0776,0.922395,124.624,128.766,128.771,130.778,8.76038,130.779,133.773
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.787,2.0,0,135.598,low,1.81151,1.18849,136.121,142.026,142.026,144.038,10.2511,144.038,147.033
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,147.052,999.0,999,150.053,999,0.0,0.0,150.087,152.306,999.0,999.0,851.948,154.319,156.315
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.338,2.0,3,157.672,high,1.33401,1.66599,158.195,161.588,161.593,163.6,7.26205,163.601,167.594
16,16,0,2,2,3,2,0,1.0,15.0,167.611,2.0,3,169.092,high,1.48168,1.51832,169.614,174.364,174.371,176.376,8.76591,176.377,178.358
17,17,1,2,2,3,2,0,1.0,16.0,178.372,3.0,0,179.912,low,1.53984,1.46016,180.441,185.113,185.114,187.126,8.75341,187.126,189.123
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,189.148,3.0,3,191.932,high,2.78407,0.215926,192.453,197.406,197.411,199.418,10.27,199.419,203.396
19,19,1,2,2,0,2,3,1.0,18.0,203.413,3.0,3,205.319,high,1.90619,1.09381,205.854,210.151,210.157,212.179,8.76596,212.179,214.16
20,20,1,3,4,3,5.00E-01,0,1.0,19.0,214.188,2.0,3,215.973,high,1.78469,1.21531,216.509,219.449,219.454,221.461,7.2731,221.461,225.439
21,21,0,2,2,0,5.00E-01,3,1.0,20.0,225.464,2.0,0,227.393,low,1.92953,1.07047,227.927,230.712,230.712,232.724,7.26047,232.724,234.721
22,22,1,1,4,0,5.00E-01,3,1.0,21.0,234.734,3.0,3,235.879,high,1.14465,1.85535,236.414,239.978,239.983,241.99,7.25598,241.991,245.985
23,23,1,2,4,0,5.00E-01,3,1.0,22.0,246.002,3.0,3,247.749,high,1.7472,1.2528,248.27,251.258,251.263,253.27,7.26799,253.27,257.248
24,24,0,1,2,3,2,0,1.0,23.0,257.269,2.0,3,258.936,high,1.66651,1.33349,259.472,264.018,264.024,266.031,8.76147,266.031,268.027
25,25,0,2,4,3,2,0,1.0,24.0,268.045,2.0,3,269.606,high,1.56039,1.43961,270.142,274.798,274.803,276.81,8.76468,276.81,280.788
26,26,0,3,2,0,5.00E-01,3,1.0,25.0,280.814,3.0,3,281.793,high,0.978696,2.0213,282.325,286.061,286.066,288.073,7.25915,288.074,290.07
27,27,1,3,2,0,5.00E-01,3,1.0,26.0,290.086,3.0,3,291.329,high,1.24326,1.75674,291.856,295.327,295.332,297.355,7.26944,297.355,299.336
28,28,1,1,3,3,2,0,1.0,27.0,299.357,2.0,3,300.398,high,1.04147,1.95853,300.92,306.107,306.112,308.119,8.76213,308.119,311.1
29,29,0,1,2,0,3.50E+00,3,1.0,28.0,311.121,3.0,3,312.785,high,1.66427,1.33573,313.307,319.367,319.373,321.395,10.2743,321.396,323.377
30,30,1,1,2,3,5.00E-01,0,1.0,29.0,323.395,2.0,3,324.522,high,1.12729,1.87271,325.054,328.649,328.655,330.677,7.28286,330.678,332.643
31,31,0,3,4,0,3.50E+00,3,1.0,30.0,332.668,3.0,3,334.658,high,1.98984,1.01016,335.193,340.926,340.932,342.939,10.2704,342.939,346.917
32,32,0,1,4,0,2,3,1.0,31.0,346.93,3.0,3,348.263,high,1.33247,1.66753,348.797,353.687,353.692,355.699,8.76921,355.7,359.677
33,33,1,3,2,3,5.00E-01,0,1.0,32.0,359.703,2.0,3,361.183,high,1.48017,1.51983,361.715,364.95,364.955,366.963,7.25945,366.963,368.959
34,34,0,1,2,3,5.00E-01,0,1.0,33.0,368.973,2.0,3,370.069,high,1.09656,1.90344,370.605,374.233,374.238,376.261,7.28831,376.261,378.227
35,35,0,3,3,3,2,0,1.0,34.0,378.245,3.0,0,379.272,low,1.02667,1.97333,379.795,384.997,384.997,387.009,8.76394,387.01,389.989
36,36,1,1,3,3,2,0,1.0,35.0,390.003,2.0,3,391.376,high,1.37319,1.62681,391.9,396.744,396.749,398.756,8.75346,398.756,401.751
