TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.02709,2.0,3,5.18985,high,1.16275,1.83725,5.71226,12.2714,12.2771,14.2993,10.2722,14.2997,16.2805
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.2983,3.0,3,17.6603,high,1.36198,1.63802,18.1918,21.5533,21.5535,23.5666,7.26835,23.5669,27.5446
3,3,0,3,4,0,2,3,1.0,2.0,27.5619,3.0,3,28.9636,high,1.40175,1.59825,29.4867,34.3149,34.3198,36.3273,8.7654,36.3276,40.3209
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3455,2.0,3,42.1009,high,1.75545,1.24455,42.6218,45.5936,45.5984,47.6059,7.26047,47.6062,49.5871
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.6055,2.0,3,51.387,high,1.78146,1.21854,51.9192,57.855,57.8605,59.8674,10.2619,59.8677,61.8642
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.887,3.0,3,63.1735,high,1.28649,1.71351,63.6971,67.1369,67.1418,69.1649,7.27794,69.1652,72.1445
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.161,3.0,3,74.2935,high,2.13246,0.867541,74.8209,77.4172,77.4224,79.4296,7.26859,79.4299,83.4076
8,8,1,3,2,0,2,3,1.0,7.0,83.4268,3.0,3,85.8974,high,2.47062,0.529378,86.4274,90.1789,90.1841,92.2069,8.78007,92.2072,94.1724
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.1954,999.0,999,97.2003,999,0.0,0.0,97.2332,99.4452,999.0,999.0,904.805,101.473,103.439
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.459,999.0,999,106.47,999,0.0,0.0,106.501,108.711,999.0,999.0,895.541,110.724,114.702
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.719,3.0,3,115.74,high,1.02095,1.97905,116.27,119.959,119.964,121.971,7.25258,121.972,123.968
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,123.99,2.0,3,125.293,high,1.30211,1.69789,125.817,129.241,129.241,131.269,7.27838,131.269,133.25
13,13,1,1,2,0,2,3,1.0,12.0,133.271,3.0,3,134.545,high,1.27429,1.72571,135.068,140.02,140.026,142.033,8.76165,142.033,144.014
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.03,3.0,3,145.248,high,1.21741,1.78259,145.769,149.287,149.292,151.3,7.26966,151.3,155.278
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.296,3.0,3,156.935,high,1.63923,1.36077,157.47,160.535,160.54,162.547,7.25128,162.548,165.558
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.583,3.0,0,166.638,low,1.0557,1.9443,167.173,170.831,170.831,172.843,7.26072,172.844,175.823
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.845,3.0,3,177.241,high,1.39666,1.60334,177.767,181.096,181.101,183.108,7.26317,183.108,185.089
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.111,2.0,3,186.477,high,1.36605,1.63395,187.0,193.357,193.362,195.385,10.274,195.385,198.365
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.383,2.0,3,199.615,high,1.2317,1.7683,200.151,203.637,203.642,205.65,7.2666,205.65,207.631
20,20,1,3,4,0,2,3,1.0,19.0,207.654,3.0,3,208.934,high,1.28008,1.71992,209.464,214.401,214.407,216.415,8.76085,216.415,220.408
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.424,3.0,3,222.839,high,2.41478,0.585217,223.364,225.681,225.686,227.693,7.26957,227.694,229.674
22,22,0,1,4,3,2,0,1.0,21.0,229.696,2.0,3,232.075,high,2.37902,0.620982,232.599,236.445,236.45,238.457,8.7616,238.457,242.435
23,23,0,1,4,0,2,3,1.0,22.0,242.453,3.0,3,243.795,high,1.3416,1.6584,244.331,249.205,249.206,251.218,8.76466,251.218,255.196
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.222,2.0,3,257.816,high,2.59403,0.405974,258.339,260.469,260.474,262.481,7.25926,262.481,264.478
25,25,0,1,4,3,2,0,1.0,24.0,264.491,2.0,3,266.202,high,1.71026,1.28974,266.732,271.232,271.237,273.26,8.76914,273.261,277.238
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.256,3.0,3,278.805,high,1.54899,1.45101,279.337,282.511,282.511,284.523,7.26716,284.524,288.501
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.518,3.0,3,291.026,high,2.50729,0.492706,291.551,293.759,293.764,295.771,7.25261,295.771,298.766
28,28,1,2,2,0,2,3,1.0,27.0,298.781,3.0,3,300.028,high,1.24709,1.75291,300.552,305.536,305.537,307.549,8.76801,307.549,309.53
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.552,999.0,999,312.565,999,0.0,0.0,312.599,314.803,999.0,999.0,689.448,316.815,318.796
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.81,2.0,3,321.401,high,2.59181,0.408192,321.925,324.053,324.059,326.066,7.25618,326.066,330.059
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,330.077,999.0,999,333.088,999,0.0,0.0,333.12,338.327,999.0,999.0,668.923,340.34,342.321
32,32,0,3,2,3,2,0,1.0,31.0,342.346,2.0,3,345.359,high,3.01224,-0.0122435,345.885,349.091,349.097,351.104,8.75716,351.104,353.1
33,33,1,3,4,3,2,0,1.0,32.0,353.116,2.0,3,355.678,high,2.56246,0.437542,356.212,359.871,359.876,361.883,8.76706,361.883,365.861
34,34,1,1,2,3,3.50E+00,0,1.0,33.0,365.876,999.0,999,368.882,999,0.0,0.0,368.91,374.129,999.0,999.0,633.124,376.157,378.122
35,35,0,1,2,3,5.00E-01,0,1.0,34.0,378.132,2.0,3,379.369,high,1.23655,1.76345,379.893,383.38,383.385,385.408,7.27525,385.408,387.373
36,36,0,3,4,3,3.50E+00,0,1.0,35.0,387.391,999.0,999,390.405,999,0.0,0.0,390.447,395.641,999.0,999.0,611.609,397.654,401.647
