TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.04061,3.0,3,5.4179,high,1.3773,1.6227,5.94492,9.29079,9.29618,11.3032,7.26255,11.3036,15.2811
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.3068,999.0,999,18.3213,999,0.0,0.0,18.3485,20.5539,999.0,999.0,983.693,22.5665,24.563
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.584,3.0,3,25.8069,high,1.22292,1.77708,26.3335,29.8358,29.8412,31.8637,7.27975,31.864,35.8261
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8429,3.0,3,38.3278,high,2.48489,0.51511,38.8604,41.0988,41.1039,43.1112,7.26833,43.1115,45.0924
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1178,2.0,3,46.5802,high,1.46246,1.53754,47.1127,50.3651,50.37,52.3775,7.25974,52.3778,54.3743
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3974,3.0,3,56.0164,high,1.61907,1.38093,56.5505,62.6578,62.6632,64.6702,10.2728,64.6705,68.6491
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6803,999.0,999,71.6873,999,0.0,0.0,71.7142,76.9326,999.0,999.0,930.32,78.9609,80.9262
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.9489,3.0,3,82.4244,high,1.47551,1.52449,82.9468,86.1989,86.2042,88.2113,7.26244,88.2116,92.1893
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.2111,2.0,3,93.6449,high,1.43374,1.56626,94.1795,97.463,97.4678,99.4754,7.26425,99.4757,101.472
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.486,2.0,3,103.347,high,1.8613,1.1387,103.882,106.729,106.734,108.742,7.2557,108.742,112.735
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.753,2.0,3,114.784,high,2.03161,0.968395,115.317,118.008,118.013,120.02,7.26775,120.021,122.002
12,12,0,2,3,0,2,3,1.0,11.0,122.024,3.0,3,123.87,high,1.84614,1.15386,124.396,128.772,128.772,130.784,8.76068,130.784,133.78
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.794,3.0,3,135.89,high,2.0965,0.903497,136.424,142.048,142.054,144.061,10.2668,144.061,147.04
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,147.059,3.0,3,149.094,high,2.03528,0.96472,149.622,152.313,152.318,154.325,7.26672,154.326,156.322
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.345,2.0,3,159.097,high,2.7523,0.247699,159.624,161.595,161.6,163.623,7.27778,163.623,167.601
16,16,0,2,2,3,2,0,1.0,15.0,167.618,999.0,999,170.634,999,0.0,0.0,170.664,174.371,999.0,999.0,831.382,176.384,178.365
17,17,1,2,2,3,2,0,1.0,16.0,178.379,2.0,3,180.037,high,1.65779,1.34221,180.572,185.119,185.125,187.132,8.7525,187.132,189.129
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,189.154,999.0,999,192.157,999,0.0,0.0,192.189,197.413,999.0,999.0,809.846,199.426,203.403
19,19,1,2,2,0,2,3,1.0,18.0,203.42,3.0,3,204.761,high,1.34077,1.65923,205.283,210.158,210.163,212.186,8.7658,212.186,214.167
20,20,1,3,4,3,5.00E-01,0,1.0,19.0,214.193,3.0,0,215.514,low,1.32153,1.67847,216.047,219.44,219.44,221.452,7.25963,221.453,225.446
21,21,0,2,2,0,5.00E-01,3,1.0,20.0,225.47,999.0,999,228.484,999,0.0,0.0,228.518,230.719,999.0,999.0,773.53,232.731,234.728
22,22,1,1,4,0,5.00E-01,3,1.0,21.0,234.741,3.0,3,236.204,high,1.46253,1.53747,236.732,239.985,239.99,242.013,7.27161,242.013,245.991
23,23,1,2,4,0,5.00E-01,3,1.0,22.0,246.008,3.0,3,247.624,high,1.61616,1.38384,248.152,251.264,251.269,253.276,7.26821,253.276,257.254
24,24,0,1,2,3,2,0,1.0,23.0,257.275,999.0,999,260.277,999,0.0,0.0,260.305,264.026,999.0,999.0,741.725,266.039,268.035
25,25,0,2,4,3,2,0,1.0,24.0,268.052,2.0,3,269.38,high,1.32787,1.67213,269.916,274.806,274.811,276.818,8.76599,276.818,280.796
26,26,0,3,2,0,5.00E-01,3,1.0,25.0,280.822,3.0,3,283.368,high,2.54647,0.453532,283.893,286.069,286.074,288.081,7.25971,288.082,290.078
27,27,1,3,2,0,5.00E-01,3,1.0,26.0,290.093,3.0,3,292.421,high,2.32765,0.672349,292.956,295.351,295.356,297.379,7.28547,297.379,299.344
28,28,1,1,3,3,2,0,1.0,27.0,299.364,999.0,999,302.373,999,0.0,0.0,302.407,306.115,999.0,999.0,699.636,308.127,311.107
29,29,0,1,2,0,3.50E+00,3,1.0,28.0,311.125,3.0,3,312.31,high,1.18511,1.81489,312.846,319.374,319.38,321.402,10.2775,321.403,323.384
30,30,1,1,2,3,5.00E-01,0,1.0,29.0,323.401,2.0,3,324.83,high,1.42895,1.57105,325.357,328.657,328.663,330.685,7.28385,330.686,332.651
31,31,0,3,4,0,3.50E+00,3,1.0,30.0,332.677,3.0,3,333.833,high,1.15651,1.84349,334.359,340.934,340.94,342.947,10.2702,342.947,346.925
32,32,0,1,4,0,2,3,1.0,31.0,346.938,999.0,999,349.954,999,0.0,0.0,349.988,353.695,999.0,999.0,652.062,355.723,359.685
33,33,1,3,2,3,5.00E-01,0,1.0,32.0,359.711,2.0,3,360.941,high,1.22984,1.77016,361.472,364.958,364.964,366.971,7.25912,366.971,368.967
34,34,0,1,2,3,5.00E-01,0,1.0,33.0,368.981,2.0,3,370.177,high,1.19644,1.80356,370.707,374.24,374.245,376.268,7.28704,376.268,378.234
35,35,0,3,3,3,2,0,1.0,34.0,378.252,2.0,3,380.981,high,2.72892,0.271079,381.502,385.004,385.009,387.016,8.76457,387.017,389.996
36,36,1,1,3,3,2,0,1.0,35.0,390.009,2.0,3,391.334,high,1.32449,1.67551,391.861,396.753,396.758,398.765,8.75574,398.765,401.76
