Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,3,1,0,5.00E-01,2
2,0,3,2,1,2,2
3,0,3,3,1,5.00E-01,4
4,3,0,1,0,2,8
5,3,0,3,0,2,4
6,0,3,3,1,5.00E-01,4
7,0,3,2,1,3.50E+00,4
8,0,3,1,0,3.50E+00,2
9,3,0,3,0,5.00E-01,2
10,0,3,2,1,5.00E-01,4
11,0,3,2,0,5.00E-01,2
12,0,3,3,0,2,2
13,0,3,2,0,5.00E-01,6
14,0,3,2,1,5.00E-01,2
15,3,0,3,0,3.50E+00,2
16,3,0,1,0,3.50E+00,2
17,0,3,2,0,5.00E-01,2
18,3,0,2,1,2,4
19,0,3,1,1,5.00E-01,4
20,0,3,3,1,5.00E-01,2
21,3,0,1,0,2,2
22,0,3,3,0,5.00E-01,6
23,3,0,1,1,2,8
24,0,3,3,0,3.50E+00,4
25,0,3,3,1,3.50E+00,2
26,0,3,1,1,5.00E-01,8
27,0,3,2,0,2,2
28,3,0,2,0,5.00E-01,4
29,3,0,1,0,5.00E-01,6
30,0,3,1,1,5.00E-01,4
31,3,0,3,1,5.00E-01,2
32,0,3,1,1,2,2
33,3,0,1,1,5.00E-01,2
34,0,3,2,1,5.00E-01,2
35,3,0,3,1,2,6
36,0,3,2,0,5.00E-01,6
