TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.02356,2.0,0,6.05627,low,2.03271,0.967288,6.58078,9.27329,9.27349,11.2894,7.26581,11.2898,15.2725
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.2988,3.0,0,16.9593,low,1.6605,1.3395,17.4828,20.5477,20.5479,22.5588,7.25996,22.5591,24.5488
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.5706,2.0,0,25.8287,low,1.25809,1.74191,26.3521,29.819,29.8192,31.8281,7.25753,31.8284,35.8202
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8368,2.0,0,36.9487,low,1.11181,1.88819,37.4728,41.0864,41.0866,43.0984,7.26159,43.0987,45.0855
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1117,3.0,0,46.5012,low,1.38948,1.61052,47.0248,50.3607,50.3609,52.3678,7.25607,52.368,54.3609
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3842,3.0,3,56.9039,high,2.51973,0.480273,57.4287,62.6331,62.6387,64.6542,10.27,64.6545,68.6334
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6657,999.0,999,71.6748,999,0.0,0.0,71.7147,76.9156,999.0,999.0,930.334,78.926,80.9148
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.9368,2.0,0,82.5286,low,1.59183,1.40817,83.052,86.186,86.1861,88.195,7.25827,88.1955,92.1862
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.2089,3.0,0,93.5493,low,1.34035,1.65965,94.0727,97.4573,97.4575,99.4644,7.25552,99.4647,101.458
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.472,3.0,0,102.868,low,1.396,1.604,103.392,106.721,106.721,108.735,7.26302,108.735,112.721
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.738,3.0,0,114.155,low,1.41691,1.58309,114.678,117.988,117.988,120.004,7.2659,120.004,121.987
12,12,0,2,3,0,2,3,1.0,11.0,122.01,2.0,0,123.54,low,1.53035,1.46965,124.065,128.759,128.76,130.773,8.76385,130.774,133.76
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.773,2.0,0,135.027,low,1.25367,1.74633,135.551,142.023,142.023,144.028,10.2545,144.028,147.023
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,147.042,2.0,0,148.364,low,1.32167,1.67833,148.888,152.291,152.291,154.297,7.25529,154.298,156.291
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.316,3.0,0,157.7,low,1.38437,1.61563,158.224,161.565,161.565,163.567,7.25111,163.567,167.565
16,16,0,2,2,3,2,0,1.0,15.0,167.582,3.0,0,168.77,low,1.18707,1.81293,169.294,174.332,174.332,176.337,8.75463,176.337,178.331
17,17,1,2,2,3,2,0,1.0,16.0,178.346,3.0,0,179.523,low,1.17722,1.82278,180.048,185.095,185.096,187.107,8.76177,187.108,189.096
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,189.123,999.0,999,192.127,999,0.0,0.0,192.154,197.373,999.0,999.0,809.877,199.377,203.372
19,19,1,2,2,0,2,3,1.0,18.0,203.389,2.0,0,204.814,low,1.42555,1.57445,205.338,210.138,210.138,212.147,8.75881,212.148,214.137
20,20,1,3,4,3,5.00E-01,0,1.0,19.0,214.163,3.0,0,215.417,low,1.25388,1.74612,215.941,219.412,219.412,221.417,7.25363,221.417,225.412
21,21,0,2,2,0,5.00E-01,3,1.0,20.0,225.437,2.0,0,226.72,low,1.28386,1.71614,227.244,230.685,230.685,232.704,7.26746,232.704,234.686
22,22,1,1,4,0,5.00E-01,3,1.0,21.0,234.7,2.0,0,235.923,low,1.22362,1.77638,236.448,239.949,239.949,241.956,7.25684,241.957,245.949
23,23,1,2,4,0,5.00E-01,3,1.0,22.0,245.965,2.0,0,247.31,low,1.34457,1.65543,247.834,251.214,251.214,253.226,7.26061,253.226,257.215
24,24,0,1,2,3,2,0,1.0,23.0,257.235,3.0,0,258.63,low,1.39412,1.60588,259.154,263.985,263.985,265.996,8.76073,265.996,267.985
25,25,0,2,4,3,2,0,1.0,24.0,268.002,3.0,0,269.283,low,1.2806,1.7194,269.807,274.751,274.751,276.767,8.76459,276.767,280.752
26,26,0,3,2,0,5.00E-01,3,1.0,25.0,280.778,999.0,999,283.787,999,0.0,0.0,283.816,286.027,999.0,999.0,718.222,288.036,290.027
27,27,1,3,2,0,5.00E-01,3,1.0,26.0,290.047,2.0,0,291.623,low,1.5755,1.4245,292.146,295.296,295.296,297.305,7.25823,297.306,299.296
28,28,1,1,3,3,2,0,1.0,27.0,299.318,3.0,0,300.892,low,1.57444,1.42556,301.415,306.067,306.067,308.076,8.75809,308.076,311.067
29,29,0,1,2,0,3.50E+00,3,1.0,28.0,311.085,2.0,0,312.262,low,1.17692,1.82308,312.788,319.334,319.334,321.346,10.2612,321.346,323.334
30,30,1,1,2,3,5.00E-01,0,1.0,29.0,323.354,3.0,0,324.699,low,1.34508,1.65492,325.222,328.603,328.604,330.615,7.26189,330.616,332.603
31,31,0,3,4,0,3.50E+00,3,1.0,30.0,332.629,2.0,0,333.784,low,1.15553,1.84447,334.309,340.878,340.878,342.886,10.2572,342.886,346.878
32,32,0,1,4,0,2,3,1.0,31.0,346.891,2.0,0,348.055,low,1.16376,1.83624,348.58,353.64,353.64,355.656,8.76489,355.657,359.64
33,33,1,3,2,3,5.00E-01,0,1.0,32.0,359.667,3.0,0,360.91,low,1.24267,1.75733,361.434,364.916,364.916,366.926,7.25885,366.926,368.916
34,34,0,1,2,3,5.00E-01,0,1.0,33.0,368.929,3.0,0,370.195,low,1.26612,1.73388,370.719,374.178,374.178,376.195,7.26584,376.195,378.178
35,35,0,3,3,3,2,0,1.0,34.0,378.197,3.0,0,379.281,low,1.08456,1.91544,379.806,384.945,384.946,386.948,8.75168,386.949,389.946
36,36,1,1,3,3,2,0,1.0,35.0,389.959,3.0,0,391.252,low,1.2926,1.7074,391.776,396.708,396.708,398.719,8.75978,398.719,401.709
