TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.03958,3.0,0,5.78824,low,1.74866,1.25134,6.3126,12.2883,12.2885,14.3054,10.2658,14.3058,16.2884
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.3068,3.0,3,17.5746,high,1.26779,1.73221,18.0989,21.5557,21.562,23.5747,7.26796,23.575,27.5559
3,3,0,3,4,0,2,3,1.0,2.0,27.5744,3.0,3,28.9616,high,1.38719,1.61281,29.4855,34.3241,34.3294,36.3452,8.77075,36.3455,40.3233
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3492,2.0,3,41.8489,high,1.49966,1.50034,42.3727,45.5975,45.6028,47.6155,7.26628,47.6158,49.5986
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.6175,3.0,0,51.8182,low,2.20067,0.79933,52.3421,57.8669,57.8671,59.885,10.2675,59.8853,61.8671
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.891,2.0,0,63.4716,low,1.5806,1.4194,63.995,67.1392,67.1394,69.1543,7.26327,69.1546,72.1404
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.1575,2.0,0,74.3248,low,2.16732,0.832683,74.8487,77.4066,77.4068,79.4247,7.2672,79.425,83.4068
8,8,1,3,2,0,2,3,1.0,7.0,83.4255,2.0,0,85.0114,low,1.58585,1.41415,85.5351,90.175,90.1752,92.1781,8.75257,92.1784,94.1742
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.1972,3.0,0,95.5478,low,1.3506,1.6494,96.0712,99.4464,99.4465,101.464,7.2672,101.465,103.447
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.468,2.0,0,104.901,low,1.43294,1.56706,105.425,108.717,108.717,110.734,7.26617,110.734,114.717
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.734,2.0,0,115.803,low,1.069,1.931,116.327,119.984,119.984,121.987,7.25287,121.987,123.983
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,124.006,3.0,0,125.223,low,1.21732,1.78268,125.746,129.254,129.255,131.273,7.26779,131.274,133.256
13,13,1,1,2,0,2,3,1.0,12.0,133.277,2.0,0,134.525,low,1.24796,1.75204,135.05,140.026,140.026,142.043,8.76554,142.043,144.027
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.044,2.0,0,146.079,low,2.03522,0.964778,146.603,149.293,149.293,151.295,7.25125,151.295,155.292
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.311,2.0,0,157.749,low,2.43819,0.561807,158.275,160.56,160.561,162.566,7.25479,162.566,165.56
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.584,3.0,0,166.735,low,1.15092,1.84908,167.259,170.834,170.834,172.852,7.26774,172.852,175.834
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.857,2.0,0,177.372,low,1.51505,1.48495,177.895,181.106,181.106,183.121,7.26476,183.122,185.105
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.128,3.0,0,186.641,low,1.51251,1.48749,187.165,193.378,193.378,195.392,10.2634,195.392,198.378
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.396,999.0,999,201.411,999,0.0,0.0,201.438,203.645,999.0,999.0,800.604,205.661,207.645
20,20,1,3,4,0,2,3,1.0,19.0,207.669,2.0,0,209.681,low,2.01221,0.987794,210.205,214.417,214.418,216.431,8.76285,216.432,220.419
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.434,2.0,0,222.968,low,2.53371,0.466288,223.492,225.684,225.684,227.701,7.26651,227.701,229.683
22,22,0,1,4,3,2,0,1.0,21.0,229.704,2.0,3,231.704,high,1.99974,1.00026,232.228,236.453,236.458,238.471,8.76689,238.472,242.454
23,23,0,1,4,0,2,3,1.0,22.0,242.473,2.0,0,243.941,low,1.46802,1.53198,244.464,249.223,249.223,251.241,8.76757,251.241,255.223
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.249,3.0,0,256.828,low,1.5791,1.4209,257.352,260.498,260.498,262.511,7.26243,262.511,264.497
25,25,0,1,4,3,2,0,1.0,24.0,264.511,2.0,3,267.448,high,2.93724,0.0627559,267.972,271.259,271.26,273.264,8.75385,273.265,277.26
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.278,2.0,0,278.52,low,1.24165,1.75835,279.042,282.527,282.527,284.534,7.25573,284.534,288.527
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.544,2.0,0,290.471,low,1.92725,1.07275,290.996,293.793,293.793,295.804,7.26032,295.805,298.793
28,28,1,2,2,0,2,3,1.0,27.0,298.809,2.0,0,299.991,low,1.18205,1.81795,300.515,305.558,305.558,307.575,8.76606,307.575,309.558
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.58,3.0,0,311.06,low,1.48041,1.51959,311.584,314.829,314.829,316.844,7.26392,316.844,318.829
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.843,3.0,0,319.963,low,1.12051,1.87949,320.487,324.092,324.092,326.096,7.2537,326.097,330.091
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,330.109,2.0,0,332.45,low,2.34041,0.659586,332.974,338.359,338.359,340.367,10.2574,340.367,342.358
32,32,0,3,2,3,2,0,1.0,31.0,342.385,3.0,0,343.919,low,1.53426,1.46574,344.444,349.134,349.134,351.137,8.75189,351.137,353.134
33,33,1,3,4,3,2,0,1.0,32.0,353.15,3.0,0,354.806,low,1.65616,1.34384,355.331,359.899,359.9,361.906,8.75613,361.907,365.9
34,34,1,1,2,3,3.50E+00,0,1.0,33.0,365.913,3.0,0,367.077,low,1.16341,1.83659,367.601,374.163,374.163,376.177,10.2638,376.177,378.163
35,35,0,1,2,3,5.00E-01,0,1.0,34.0,378.174,3.0,0,379.347,low,1.17302,1.82698,379.87,383.423,383.423,385.43,7.25653,385.431,387.423
36,36,0,3,4,3,3.50E+00,0,1.0,35.0,387.442,3.0,0,388.616,low,1.1742,1.8258,389.141,395.692,395.692,397.701,10.2587,397.701,401.692
