TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,0,2,3,1.0,0.0,4.04505,2.0,0,5.3358,low,1.29075,1.70925,5.86031,10.7949,10.7952,12.803,8.75798,12.8034,14.7941
2,2,0,2,3,3,3.5,0,1.0,1.0,14.8101,3.0,0,16.8729,low,2.06286,0.937141,17.396,23.0594,23.0595,25.0735,10.2634,25.0737,28.0596
3,3,0,2,4,3,2,0,1.0,2.0,28.0624,2.0,3,28.6425,high,0.580067,2.41993,29.1665,34.8108,34.8174,36.8269,8.76442,36.8272,40.812
4,4,0,2,2,0,0.5,3,1.0,3.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,1,1,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,0,1,4,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,1,3,2,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,1,3,4,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,1,3,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,0,1,3,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,1,2,2,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,0,1,2,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,1,1,4,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,1,3,3,0,3.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,0,3,4,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,1,2,2,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,1,1,4,0,3.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,0,3,4,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,0,1,4,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,0,2,4,0,2,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,0,3,2,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,1,2,4,0,2,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,1,1,2,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,0,3,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,0,1,2,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,0,3,4,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,0,1,4,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,1,2,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,1,2,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,0,2,2,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,1,2,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,1,3,2,0,3.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,0,3,4,3,3.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,1,2,4,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,1,3,3,0,3.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,0,2,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
