TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.02896,3.0,0,5.80908,low,1.78012,1.21988,6.3333,12.2782,12.2785,14.2932,10.2642,14.2937,16.2784
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.296,3.0,3,17.8621,high,1.56607,1.43393,18.387,21.5456,21.5513,23.5626,7.2666,23.5629,27.5458
3,3,0,3,4,0,2,3,1.0,2.0,27.5657,3.0,3,28.9492,high,1.38347,1.61653,29.4727,34.315,34.32,36.3331,8.7674,36.3334,40.3152
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.341,3.0,0,41.7028,low,1.36187,1.63813,42.2262,45.5904,45.5906,47.6025,7.26151,47.6028,49.5895
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.6082,3.0,0,50.8383,low,1.23017,1.76983,51.3625,57.8579,57.858,59.8729,10.2647,59.8732,61.857
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8811,2.0,0,63.3592,low,1.47813,1.52187,63.883,67.1301,67.1303,69.1422,7.26115,69.1425,72.1303
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.1474,2.0,0,73.512,low,1.36462,1.63538,74.0354,77.3965,77.3967,79.4116,7.26414,79.4119,83.3967
8,8,1,3,2,0,2,3,1.0,7.0,83.4155,2.0,0,84.7482,low,1.33277,1.66723,85.2728,90.1649,90.1651,92.182,8.76657,92.1823,94.1641
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.1872,3.0,0,95.4518,low,1.26464,1.73536,95.9749,99.4362,99.4364,101.451,7.26418,101.452,103.436
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.458,3.0,3,105.388,high,1.92976,1.07024,105.911,108.707,108.712,110.721,7.26286,110.721,114.707
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.724,2.0,0,116.241,low,1.5174,1.4826,116.765,119.973,119.973,121.991,7.26728,121.991,123.973
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,123.995,3.0,0,125.294,low,1.29841,1.70159,125.817,129.244,129.244,131.26,7.265,131.261,133.244
13,13,1,1,2,0,2,3,1.0,12.0,133.266,2.0,0,134.763,low,1.49769,1.50231,135.287,140.015,140.015,142.03,8.7642,142.03,144.014
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.03,2.0,0,145.133,low,1.10247,1.89753,145.657,149.28,149.28,151.283,7.25264,151.283,155.28
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.299,2.0,0,156.52,low,1.22079,1.77921,157.043,160.547,160.548,162.552,7.25368,162.553,165.548
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.572,3.0,0,166.822,low,1.25038,1.74962,167.347,170.821,170.821,172.839,7.26678,172.839,175.821
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.843,2.0,0,177.342,low,1.49908,1.50092,177.866,181.092,181.092,183.108,7.265,183.109,185.093
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.116,3.0,0,186.478,low,1.36202,1.63798,187.002,193.366,193.366,195.379,10.2622,195.379,198.366
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.384,3.0,0,199.765,low,1.38118,1.61882,200.289,203.633,203.633,205.649,7.26468,205.649,207.634
20,20,1,3,4,0,2,3,1.0,19.0,207.658,2.0,0,209.069,low,1.41144,1.58856,209.592,214.406,214.406,216.418,8.76081,216.419,220.406
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.422,2.0,0,221.905,low,1.48306,1.51694,222.429,225.671,225.671,227.689,7.26657,227.689,229.672
22,22,0,1,4,3,2,0,1.0,21.0,229.693,3.0,0,231.141,low,1.44775,1.55225,231.665,236.443,236.443,238.458,8.76477,238.458,242.442
23,23,0,1,4,0,2,3,1.0,22.0,242.461,2.0,0,244.112,low,1.65074,1.34926,244.636,249.209,249.21,251.212,8.75062,251.212,255.21
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.234,3.0,0,256.449,low,1.21476,1.78524,256.973,260.483,260.483,262.498,7.26411,262.498,264.483
25,25,0,1,4,3,2,0,1.0,24.0,264.497,3.0,0,265.651,low,1.15477,1.84523,266.175,271.246,271.246,273.251,8.75478,273.252,277.245
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.264,3.0,3,278.905,high,1.64148,1.35852,279.429,282.514,282.514,284.522,7.25802,284.522,288.513
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.531,2.0,0,289.675,low,1.14368,1.85632,290.199,293.78,293.78,295.791,7.25986,295.792,298.78
28,28,1,2,2,0,2,3,1.0,27.0,298.795,2.0,0,299.861,low,1.06629,1.93371,300.385,305.544,305.545,307.562,8.76655,307.562,309.544
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.566,3.0,0,310.964,low,1.39817,1.60183,311.488,314.816,314.816,316.831,7.26453,316.831,318.815
