TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.0271,2.0,0,5.9261,low,1.89901,1.10099,6.45094,9.27611,9.27632,11.2932,7.26608,11.2936,15.2763
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.3025,2.0,3,16.7297,high,1.42723,1.57277,17.2539,20.5515,20.5517,22.5626,7.26009,22.5629,24.5517
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.5726,3.0,3,26.0491,high,1.47646,1.52354,26.5728,29.8218,29.8275,31.8319,7.2593,31.8322,35.8211
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8378,2.0,0,37.3691,low,1.53126,1.46874,37.8931,41.0872,41.0874,43.1023,7.26443,43.1026,45.0874
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1137,3.0,0,47.2047,low,2.09109,0.908911,47.7283,50.3635,50.3637,52.3716,7.25797,52.3719,54.3627
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3861,3.0,3,56.0413,high,1.65523,1.34477,56.5648,62.636,62.6419,64.6581,10.2719,64.6583,68.6352
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6642,3.0,4,70.0119,high,1.3477,1.6523,70.5353,76.9135,76.919,78.9295,10.2654,78.9298,80.9136
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.9358,2.0,0,82.3817,low,1.44589,1.55411,82.906,86.1858,86.186,88.1989,7.26309,88.1992,92.185
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.207,3.0,0,93.8188,low,1.61172,1.38828,94.3422,97.4562,97.4563,99.4683,7.26121,99.4685,101.456
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.47,2.0,3,103.021,high,1.55106,1.44894,103.545,106.719,106.724,108.738,7.26765,108.738,112.719
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.736,2.0,3,114.375,high,1.6391,1.3609,114.899,117.985,117.99,120.008,7.2723,120.008,121.985
12,12,0,2,3,0,2,3,1.0,11.0,122.007,2.0,0,123.494,low,1.48672,1.51328,124.018,128.756,128.756,130.761,8.75396,130.762,133.756
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.77,2.0,0,135.048,low,1.27731,1.72269,135.571,142.02,142.02,144.032,10.2615,144.032,147.02
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,147.041,2.0,0,148.318,low,1.27661,1.72339,148.842,152.29,152.29,154.301,7.25982,154.301,156.29
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.313,3.0,0,157.737,low,1.42404,1.57596,158.262,161.562,161.563,163.571,7.25715,163.571,167.563
16,16,0,2,2,3,2,0,1.0,15.0,167.58,3.0,0,168.857,low,1.27747,1.72253,169.381,174.329,174.329,176.341,8.76104,176.341,178.329
17,17,1,2,2,3,2,0,1.0,16.0,178.344,3.0,0,179.81,low,1.46616,1.53384,180.334,185.093,185.093,187.11,8.76647,187.111,189.092
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,189.119,3.0,3,190.83,high,1.7116,1.2884,191.355,197.368,197.373,199.381,10.262,199.381,203.368
19,19,1,2,2,0,2,3,1.0,18.0,203.385,2.0,0,204.651,low,1.26616,1.73384,205.175,210.134,210.134,212.151,8.76636,212.151,214.134
20,20,1,3,4,3,5.00E-01,0,1.0,19.0,214.16,3.0,0,215.637,low,1.47776,1.52224,216.161,219.408,219.409,221.421,7.2608,221.421,225.409
21,21,0,2,2,0,5.00E-01,3,1.0,20.0,225.437,2.0,0,226.941,low,1.50354,1.49646,227.465,230.687,230.687,232.691,7.25358,232.691,234.687
22,22,1,1,4,0,5.00E-01,3,1.0,21.0,234.7,2.0,0,236.144,low,1.44313,1.55687,236.667,239.95,239.95,241.96,7.2598,241.961,245.95
23,23,1,2,4,0,5.00E-01,3,1.0,22.0,245.968,2.0,0,247.363,low,1.39583,1.60417,247.887,251.217,251.217,253.23,7.26199,253.23,257.217
24,24,0,1,2,3,2,0,1.0,23.0,257.238,3.0,0,258.433,low,1.19556,1.80444,258.957,263.987,263.987,266.0,8.76226,266.0,267.987
25,25,0,2,4,3,2,0,1.0,24.0,268.004,3.0,0,269.387,low,1.3825,1.6175,269.91,274.753,274.754,276.77,8.76639,276.771,280.754
26,26,0,3,2,0,5.00E-01,3,1.0,25.0,280.78,2.0,0,282.04,low,1.26037,1.73963,282.564,286.029,286.029,288.04,7.26003,288.04,290.029
27,27,1,3,2,0,5.00E-01,3,1.0,26.0,290.045,3.0,3,291.626,high,1.5816,1.4184,292.151,295.294,295.3,297.309,7.26438,297.309,299.293
28,28,1,1,3,3,2,0,1.0,27.0,299.317,3.0,0,300.812,low,1.49486,1.50514,301.336,306.066,306.067,308.08,8.76204,308.08,311.067
29,29,0,1,2,0,3.50E+00,3,1.0,28.0,311.085,3.0,3,312.466,high,1.38118,1.61882,312.99,319.334,319.339,321.35,10.2653,321.35,323.334
30,30,1,1,2,3,5.00E-01,0,1.0,29.0,323.352,3.0,0,324.669,low,1.31709,1.68291,325.193,328.601,328.601,330.619,7.26714,330.62,332.601
