TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.03153,2.0,0,5.57745,low,1.54593,1.45407,6.10831,9.28243,9.28264,11.2948,7.26327,11.2952,15.2728
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.2985,2.0,3,16.8642,high,1.56567,1.43433,17.3879,20.5455,20.5507,22.5735,7.27496,22.5738,24.5546
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.5752,3.0,3,26.0003,high,1.42508,1.57492,26.5282,29.8274,29.8326,31.8553,7.28015,31.8556,35.8177
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8343,3.0,3,37.0703,high,1.23593,1.76407,37.6045,41.0749,41.0802,43.0892,7.25492,43.0895,45.086
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1117,2.0,3,46.2225,high,1.11079,1.88921,46.7474,50.3587,50.3636,52.3711,7.25937,52.3714,54.3523
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3752,3.0,3,55.7421,high,1.36687,1.63313,56.2635,62.6202,62.6256,64.6482,10.273,64.6485,68.6261
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6577,3.0,4,70.6803,high,2.02261,0.977391,71.2081,76.9097,76.9147,78.9376,10.2799,78.9379,80.9042
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.9262,3.0,3,82.9676,high,2.04146,0.958544,83.5015,86.1769,86.1771,88.1893,7.26317,88.1896,92.1673
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.1894,2.0,3,93.5205,high,1.33113,1.66887,94.047,97.44,97.4452,99.4524,7.26298,99.4527,101.449
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.463,2.0,3,102.84,high,1.37716,1.62284,103.376,106.706,106.712,108.719,7.25586,108.719,112.712
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.729,999.0,999,115.743,999,0.0,0.0,115.774,117.986,999.0,999.0,886.271,120.014,121.98
12,12,0,2,3,0,2,3,1.0,11.0,122.002,3.0,3,123.38,high,1.37796,1.62204,123.906,128.75,128.755,130.762,8.76068,130.763,133.757
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.771,3.0,3,135.283,high,1.5124,1.4876,135.809,142.01,142.016,144.038,10.267,144.038,147.017
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,147.035,2.0,0,148.687,low,1.65175,1.34825,149.209,152.29,152.29,154.304,7.26901,154.305,156.286
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.308,3.0,0,157.69,low,1.38158,1.61842,158.213,161.558,161.558,163.571,7.26248,163.571,167.564
16,16,0,2,2,3,2,0,1.0,15.0,167.581,2.0,3,169.727,high,2.14616,0.85384,170.255,174.335,174.339,176.347,8.76635,176.347,178.328
17,17,1,2,2,3,2,0,1.0,16.0,178.343,3.0,0,179.73,low,1.38692,1.61308,180.255,185.098,185.099,187.111,8.76793,187.111,189.092
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,189.117,3.0,3,190.949,high,1.83182,1.16818,191.471,197.361,197.366,199.389,10.2714,199.389,203.367
19,19,1,2,2,0,2,3,1.0,18.0,203.384,2.0,0,204.904,low,1.52024,1.47976,205.434,210.137,210.137,212.15,8.7658,212.15,214.131
20,20,1,3,4,3,5.00E-01,0,1.0,19.0,214.158,3.0,0,216.157,low,1.9988,1.0012,216.681,219.419,219.419,221.431,7.27328,221.432,225.409
21,21,0,2,2,0,5.00E-01,3,1.0,20.0,225.434,2.0,0,227.911,low,2.47718,0.522819,228.444,230.684,230.684,232.697,7.26288,232.697,234.678
22,22,1,1,4,0,5.00E-01,3,1.0,21.0,234.692,3.0,3,236.814,high,2.1222,0.877797,237.337,239.935,239.94,241.947,7.25565,241.947,245.941
23,23,1,2,4,0,5.00E-01,3,1.0,22.0,245.958,3.0,3,247.967,high,2.00916,0.99084,248.491,251.198,251.203,253.226,7.26807,253.226,257.204
24,24,0,1,2,3,2,0,1.0,23.0,257.225,2.0,3,258.57,high,1.34527,1.65473,259.099,263.974,263.979,265.986,8.7617,265.987,267.969
25,25,0,2,4,3,2,0,1.0,24.0,267.987,3.0,0,270.174,low,2.18698,0.813016,270.707,274.739,274.739,276.751,8.76479,276.752,280.745
