TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.02799,2.0,3,6.04667,high,2.01868,0.981317,6.57517,12.2749,12.2751,14.2872,10.2592,14.2876,16.284
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.3021,3.0,3,17.5668,high,1.26469,1.73531,18.1013,21.5568,21.557,23.5691,7.26705,23.5694,27.5471
3,3,0,3,4,0,2,3,1.0,2.0,27.5653,3.0,3,30.1543,high,2.58898,0.411015,30.6754,34.3018,34.3069,36.3298,8.76445,36.3301,40.3233
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3476,3.0,0,42.1079,low,1.76032,1.23968,42.6413,45.5971,45.5972,47.6095,7.26185,47.6098,49.5906
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.6093,3.0,0,50.9435,low,1.3342,1.6658,51.4703,57.8586,57.8587,59.8709,10.2616,59.8712,61.8677
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8907,2.0,0,63.4143,low,1.52363,1.47637,63.9506,67.1404,67.1406,69.1528,7.26212,69.1531,72.1324
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.1492,3.0,3,73.917,high,1.76778,1.23222,74.4492,77.4051,77.41,79.4195,7.27026,79.4198,83.3975
8,8,1,3,2,0,2,3,1.0,7.0,83.4165,2.0,0,85.6044,low,2.18783,0.812171,86.1357,90.1678,90.1679,92.1802,8.76362,92.1804,94.1613
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.1835,3.0,0,95.674,low,1.49052,1.50948,96.1971,99.4341,99.4342,101.446,7.26293,101.447,103.428
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.448,3.0,3,104.743,high,1.29508,1.70492,105.276,108.7,108.706,110.713,7.26438,110.713,114.691
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.708,3.0,3,116.347,high,1.63934,1.36066,116.868,119.949,119.954,121.961,7.25365,121.962,123.958
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,123.98,2.0,3,125.216,high,1.23621,1.76379,125.744,129.215,129.215,131.228,7.24751,131.228,133.24
13,13,1,1,2,0,2,3,1.0,12.0,133.261,2.0,0,134.552,low,1.29134,1.70866,135.073,140.01,140.01,142.023,8.76152,142.023,144.004
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.02,3.0,3,145.722,high,1.70205,1.29795,146.258,149.277,149.282,151.289,7.26858,151.289,155.269
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.287,3.0,3,156.442,high,1.1548,1.8452,156.977,160.526,160.531,162.538,7.25086,162.539,165.549
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.574,999.0,999,168.579,999,0.0,0.0,168.612,170.822,999.0,999.0,833.426,172.85,175.814
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.836,2.0,0,177.215,low,1.37941,1.62059,177.741,181.087,181.087,183.099,7.26318,183.099,185.08
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.102,2.0,3,186.585,high,1.48257,1.51743,187.116,193.35,193.355,195.378,10.2759,195.378,198.358
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.376,2.0,3,199.705,high,1.32926,1.67074,200.238,203.63,203.636,205.643,7.2667,205.643,207.624
20,20,1,3,4,0,2,3,1.0,19.0,207.647,2.0,0,208.908,low,1.26103,1.73897,209.443,214.394,214.394,216.407,8.75998,216.407,220.385
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.4,2.0,0,221.578,low,1.17848,1.82152,222.108,225.642,225.642,227.654,7.254,227.654,229.652
22,22,0,1,4,3,2,0,1.0,21.0,229.673,2.0,3,231.148,high,1.47545,1.52455,231.672,236.422,236.427,238.434,8.76189,238.435,242.412
23,23,0,1,4,0,2,3,1.0,22.0,242.43,3.0,3,243.685,high,1.2546,1.7454,244.214,249.167,249.167,251.195,8.76465,251.195,255.189
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.213,999.0,999,258.222,999,0.0,0.0,258.256,260.461,999.0,999.0,743.787,262.474,264.455
25,25,0,1,4,3,2,0,1.0,24.0,264.469,3.0,0,265.758,low,1.28965,1.71035,266.29,271.212,271.212,273.224,8.75535,273.224,277.218
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.236,3.0,3,278.729,high,1.49335,1.50665,279.253,282.49,282.496,284.518,7.28273,284.519,288.481
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.498,2.0,0,289.982,low,1.48477,1.51523,290.516,293.753,293.754,295.766,7.26823,295.766,298.745
28,28,1,2,2,0,2,3,1.0,27.0,298.76,2.0,0,300.102,low,1.34209,1.65791,300.625,305.501,305.501,307.529,8.76915,307.529,309.51
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.533,3.0,0,310.822,low,1.28932,1.71068,311.343,314.783,314.783,316.795,7.26278,316.796,318.777
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.79,3.0,0,320.158,low,1.36819,1.63181,320.687,324.049,324.049,326.062,7.27185,326.062,330.04
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,330.058,3.0,3,331.428,high,1.36999,1.63001,331.951,338.308,338.313,340.336,10.2779,340.336,342.302
32,32,0,3,2,3,2,0,1.0,31.0,342.329,2.0,3,343.515,high,1.18527,1.81473,344.042,349.088,349.093,351.1,8.77109,351.101,353.082
33,33,1,3,4,3,2,0,1.0,32.0,353.097,3.0,0,354.618,low,1.52122,1.47878,355.148,359.852,359.852,361.864,8.76709,361.865,365.858
34,34,1,1,2,3,3.50E+00,0,1.0,33.0,365.873,2.0,3,367.822,high,1.94982,1.05018,368.347,374.126,374.131,376.138,10.2656,376.138,378.137
35,35,0,1,2,3,5.00E-01,0,1.0,34.0,378.149,2.0,3,379.276,high,1.12659,1.87341,379.798,383.394,383.399,385.406,7.2572,385.407,387.403
36,36,0,3,4,3,3.50E+00,0,1.0,35.0,387.421,2.0,3,389.412,high,1.99078,1.00922,389.939,395.671,395.676,397.683,10.2621,397.684,401.661
