TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,0,2,3,1.0,0.0,4.0398,3.0,3,6.46816,high,2.42836,0.571637,6.99447,10.7927,10.7997,12.8207,8.78093,12.8211,14.7863
2,2,0,2,3,3,3.5,0,1.0,1.0,14.8149,2.0,3,17.1214,high,2.30646,0.693539,17.6495,23.0698,23.0751,25.0978,10.2829,25.098,28.0638
3,3,0,2,4,3,2,0,1.0,2.0,28.0783,2.0,3,30.0085,high,1.93023,1.06977,30.538,34.8341,34.8343,36.8465,8.76813,36.8467,40.8244
4,4,0,2,2,0,0.5,3,1.0,3.0,40.8459,3.0,3,42.8124,high,1.96642,1.03358,43.3455,46.0971,46.0974,48.1095,7.26359,48.1098,50.1063
5,5,1,1,2,0,0.5,3,1.0,4.0,50.1189,2.0,0,51.5316,low,1.41271,1.58729,52.0646,55.3634,55.3636,57.3914,7.2725,57.3917,59.3726
6,6,0,1,4,3,0.5,0,1.0,5.0,59.3902,2.0,3,61.0845,high,1.69434,1.30566,61.6116,64.6473,64.6527,66.6753,7.2851,66.6756,70.6377
7,7,1,3,2,3,0.5,0,1.0,6.0,70.6567,2.0,3,72.5038,high,1.84708,1.15292,73.0328,75.9103,75.916,77.9227,7.266,77.923,79.9039
8,8,1,3,4,3,2,0,1.0,7.0,79.9208,2.0,3,81.0564,high,1.13564,1.86436,81.5812,86.6742,86.6744,88.6866,8.7658,88.6869,92.6801
9,9,1,3,2,0,0.5,3,1.0,8.0,92.7048,3.0,3,94.6105,high,1.90571,1.09429,95.1379,97.9529,97.9531,99.9653,7.26044,99.9656,101.948
10,10,0,1,3,0,0.5,3,1.0,9.0,101.96,2.0,0,103.547,low,1.58689,1.41311,104.077,107.205,107.205,109.217,7.25664,109.217,112.212
11,11,1,2,2,3,0.5,0,1.0,10.0,112.236,3.0,0,113.634,low,1.3972,1.6028,114.155,117.485,117.485,119.497,7.26088,119.498,121.494
12,12,0,1,2,3,2,0,1.0,11.0,121.507,3.0,0,122.886,low,1.37904,1.62096,123.421,128.264,128.265,130.277,8.7694,130.277,132.258
13,13,1,1,4,0,0.5,3,1.0,12.0,132.276,3.0,3,133.806,high,1.5297,1.4703,134.34,137.531,137.536,139.545,7.26887,139.545,143.523
14,14,1,3,3,0,3.5,3,1.0,13.0,143.541,3.0,3,144.86,high,1.31822,1.68178,145.387,151.791,151.796,153.819,10.2775,153.819,156.798
