TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.04178,2.0,3,5.38694,high,1.34516,1.65484,5.9175,12.2891,12.2947,14.3015,10.2597,14.3019,16.2983
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.3161,3.0,3,18.3409,high,2.02477,0.975228,18.8652,21.5554,21.5556,23.5834,7.26729,23.5837,27.5613
3,3,0,3,4,0,2,3,1.0,2.0,27.5795,3.0,3,28.7107,high,1.13119,1.86881,29.2401,34.3317,34.3369,36.345,8.76553,36.3453,40.323
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3468,2.0,3,41.5145,high,1.16767,1.83233,42.0477,45.5957,45.6011,47.6237,7.27688,47.624,49.6048
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.6229,2.0,3,50.6839,high,1.06102,1.93898,51.22,57.8728,57.8783,59.8852,10.2623,59.8855,61.8664
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8891,3.0,3,63.1042,high,1.21511,1.78489,63.6371,67.1391,67.1444,69.1515,7.26234,69.1518,72.1466
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.1629,2.0,0,73.5908,low,1.42787,1.57213,74.1205,77.4193,77.4195,79.4318,7.26885,79.432,83.4097
8,8,1,3,2,0,2,3,1.0,7.0,83.428,3.0,3,84.8108,high,1.38282,1.61718,85.3367,90.18,90.1862,92.1924,8.76439,92.1927,94.1892
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.2116,2.0,3,95.364,high,1.15238,1.84762,95.8991,99.4629,99.4631,101.475,7.26366,101.476,103.472
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.493,3.0,3,104.733,high,1.24037,1.75963,105.259,108.745,108.75,110.773,7.28015,110.773,114.735
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.752,2.0,0,115.903,low,1.15134,1.84866,116.428,120.008,120.008,122.02,7.26858,122.021,124.001
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,124.023,3.0,0,125.456,low,1.43315,1.56685,125.991,129.274,129.274,131.287,7.26335,131.287,133.283
13,13,1,1,2,0,2,3,1.0,12.0,133.304,3.0,3,134.742,high,1.4383,1.5617,135.273,140.054,140.059,142.082,8.77749,142.082,144.047
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.064,2.0,0,145.296,low,1.23164,1.76836,145.819,149.32,149.32,151.332,7.26835,151.333,155.311
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.33,3.0,3,156.682,high,1.35279,1.64721,157.207,160.584,160.589,162.596,7.26677,162.597,165.592
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.616,3.0,0,166.752,low,1.13643,1.86357,167.285,170.864,170.864,172.877,7.26104,172.877,175.872
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.894,2.0,0,177.439,low,1.54474,1.45526,177.97,181.145,181.145,183.157,7.26309,183.157,185.138
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.16,3.0,0,186.391,low,1.23167,1.76833,186.925,193.406,193.406,195.418,10.2587,195.419,198.414
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.432,2.0,3,199.729,high,1.29688,1.70312,200.263,203.686,203.692,205.699,7.26695,205.699,207.68
20,20,1,3,4,0,2,3,1.0,19.0,207.703,3.0,3,209.165,high,1.46227,1.53773,209.701,214.45,214.455,216.464,8.76105,216.464,220.457
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.472,3.0,3,221.802,high,1.32994,1.67006,222.337,225.73,225.735,227.758,7.28538,227.758,229.723
22,22,0,1,4,3,2,0,1.0,21.0,229.746,2.0,3,230.938,high,1.19243,1.80757,231.463,236.494,236.499,238.506,8.76054,238.506,242.484
23,23,0,1,4,0,2,3,1.0,22.0,242.502,3.0,3,243.891,high,1.38942,1.61058,244.427,249.239,249.239,251.251,8.74916,251.251,255.26
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.284,3.0,0,256.395,low,1.11084,1.88916,256.922,260.533,260.533,262.545,7.26118,262.546,264.527
25,25,0,1,4,3,2,0,1.0,24.0,264.54,2.0,3,266.515,high,1.97496,1.02504,267.047,271.281,271.282,273.294,8.75385,273.294,277.288
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.306,2.0,0,278.469,low,1.16282,1.83718,278.997,282.561,282.561,284.573,7.26727,284.574,288.551
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.568,2.0,0,289.656,low,1.08769,1.91231,290.182,293.808,293.809,295.821,7.25294,295.821,298.832
28,28,1,2,2,0,2,3,1.0,27.0,298.846,2.0,0,300.142,low,1.29615,1.70385,300.665,305.586,305.587,307.599,8.75279,307.599,309.596
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.617,3.0,0,311.279,low,1.66142,1.33858,311.803,314.868,314.868,316.881,7.26328,316.881,318.862
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.875,3.0,0,320.065,low,1.18968,1.81032,320.586,324.119,324.119,326.131,7.25628,326.132,330.125
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,330.143,2.0,0,331.351,low,1.20852,1.79148,331.88,338.378,338.378,340.391,10.2476,340.391,342.387
