TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.02656,3.0,3,6.23147,high,2.20491,0.795089,6.75942,9.27809,9.27834,11.2905,7.26392,11.2909,15.284
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.3096,2.0,3,16.5012,high,1.19162,1.80838,17.024,20.5568,20.5621,22.5691,7.25953,22.5694,24.5503
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.571,3.0,3,26.1036,high,1.53263,1.46737,26.6336,29.8231,29.8288,31.8354,7.26443,31.8357,35.8134
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8299,2.0,0,37.0574,low,1.22748,1.77252,37.5844,41.0861,41.0863,43.0985,7.26861,43.0988,45.0796
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1068,2.0,3,46.9603,high,1.85358,1.14642,47.4911,50.3534,50.3585,52.3814,7.27467,52.3817,54.347
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3697,3.0,3,55.5963,high,1.22653,1.77347,56.1179,62.6148,62.6203,64.6273,10.2575,64.6276,68.6208
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6511,3.0,4,69.8172,high,1.1661,1.8339,70.3449,76.9043,76.9096,78.9167,10.2656,78.917,80.9135
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.9352,3.0,3,82.8878,high,1.95264,1.04736,83.4181,86.1706,86.1708,88.183,7.24781,88.1833,92.1922
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.2139,2.0,3,93.6244,high,1.41044,1.58956,94.1505,97.4649,97.4701,99.4773,7.26333,99.4776,101.458
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.472,2.0,3,103.077,high,1.60552,1.39448,103.604,106.717,106.722,108.729,7.25728,108.729,112.723
