TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,0,2,3,1.0,0.0,4.03737,999.0,999.0,7.04091,999.0,0.0,0.0,7.07634,10.7885,999.0,999.0,994.963,12.8169,14.7821
2,2,0,2,3,3,3.5,0,1.0,1.0,14.8075,3.0,0,15.9107,low,1.10315,1.89685,16.4444,23.0656,23.0658,25.078,10.2705,25.0783,28.0419
3,3,0,2,4,3,2,0,1.0,2.0,28.0566,2.0,3,28.8981,high,0.841468,2.15853,29.4233,34.7966,34.802,36.8246,8.768,36.8249,40.8036
4,4,0,2,2,0,0.5,3,1.0,3.0,40.8265,3.0,3,41.9518,high,1.12538,1.87462,42.481,46.0764,46.0766,48.0887,7.26228,48.089,50.0699
5,5,1,1,2,0,0.5,3,1.0,4.0,50.0834,2.0,0,51.4214,low,1.338,1.662,51.9504,55.327,55.3272,57.3394,7.25603,57.3397,59.3206
6,6,0,1,4,3,0.5,0,1.0,5.0,59.3384,2.0,3,60.2241,high,0.885739,2.11426,60.7485,64.5933,64.5988,66.6057,7.26735,66.606,70.5993
7,7,1,3,2,3,0.5,0,1.0,6.0,70.6187,2.0,3,71.7942,high,1.17544,1.82456,72.3237,75.872,75.878,77.9,7.28126,77.9003,79.8656
8,8,1,3,4,3,2,0,1.0,7.0,79.8806,2.0,3,81.0637,high,1.18304,1.81696,81.5896,86.6359,86.6361,88.6483,8.76761,88.6485,92.6262
9,9,1,3,2,0,0.5,3,1.0,8.0,92.6487,3.0,3,93.8674,high,1.21875,1.78125,94.3974,97.899,97.8992,99.9124,7.26369,99.9127,101.909
10,10,0,1,3,0,0.5,3,1.0,9.0,101.922,2.0,0,103.02,low,1.09802,1.90198,103.555,107.182,107.182,109.194,7.27209,109.195,112.174
11,11,1,2,2,3,0.5,0,1.0,10.0,112.198,3.0,0,113.423,low,1.22506,1.77494,113.945,117.447,117.447,119.459,7.26111,119.459,121.44
12,12,0,1,2,3,2,0,1.0,11.0,121.453,3.0,0,122.759,low,1.30602,1.69398,123.289,128.195,128.195,130.207,8.75378,130.207,132.204
13,13,1,1,4,0,0.5,3,1.0,12.0,132.222,3.0,3,133.563,high,1.34077,1.65923,134.084,137.477,137.482,139.505,7.28277,139.505,143.467
14,14,1,3,3,0,3.5,3,1.0,13.0,143.485,3.0,3,144.749,high,1.2638,1.7362,145.285,151.735,151.74,153.747,10.2622,153.748,156.743
15,15,0,3,4,3,2,0,1.0,14.0,156.765,2.0,3,158.653,high,1.88784,1.11216,159.185,163.529,163.535,165.542,8.77656,165.542,169.52
16,16,1,2,2,3,2,0,1.0,15.0,169.536,3.0,0,170.757,low,1.22043,1.77957,171.291,176.29,176.29,178.302,8.7661,178.303,180.284
17,17,1,1,4,0,3.5,3,1.0,16.0,180.306,2.0,0,182.444,low,2.13786,0.862144,182.975,188.567,188.567,190.579,10.2733,190.58,194.557
18,18,0,3,4,0,0.5,3,1.0,17.0,194.577,2.0,0,195.665,low,1.08736,1.91264,196.188,199.815,199.815,201.827,7.24968,201.827,205.836
19,19,0,1,4,3,0.5,0,1.0,18.0,205.857,2.0,3,207.501,high,1.64412,1.35588,208.028,211.109,211.114,213.121,7.26429,213.122,217.1
20,20,0,2,4,0,2,3,1.0,19.0,217.124,2.0,0,218.188,low,1.0634,1.9366,218.715,223.871,223.871,225.883,8.75867,225.883,229.876
21,21,0,3,2,3,2,0,1.0,20.0,229.902,3.0,0,231.192,low,1.28954,1.71046,231.725,236.647,236.647,238.659,8.75676,238.659,240.64
22,22,1,2,4,0,2,3,1.0,21.0,240.666,2.0,0,241.812,low,1.14626,1.85374,242.333,247.411,247.411,249.439,8.77306,249.439,253.417
23,23,1,1,2,3,0.5,0,1.0,22.0,253.437,3.0,0,254.582,low,1.14524,1.85476,255.11,258.689,258.689,260.702,7.26459,260.702,262.683
24,24,0,3,2,0,0.5,3,1.0,23.0,262.708,3.0,3,264.052,high,1.34366,1.65634,264.579,267.956,267.961,269.968,7.25976,269.968,271.949
25,25,0,1,2,3,0.5,0,1.0,24.0,271.97,3.0,0,273.105,low,1.1342,1.8658,273.627,277.223,277.223,279.235,7.26494,279.236,281.232
26,26,0,3,4,3,0.5,0,1.0,25.0,281.25,3.0,0,282.407,low,1.15706,1.84294,282.941,286.505,286.505,288.502,7.25134,288.502,292.511
27,27,0,1,4,0,0.5,3,1.0,26.0,292.531,2.0,0,293.711,low,1.17971,1.82029,294.235,297.784,297.784,299.796,7.26466,299.796,303.774
28,28,1,2,2,0,0.5,3,1.0,27.0,303.79,2.0,0,305.098,low,1.30733,1.69267,305.624,309.031,309.031,311.043,7.25317,311.044,313.04
29,29,1,2,2,0,0.5,3,1.0,28.0,313.054,2.0,0,314.283,low,1.22884,1.77116,314.811,318.313,318.313,320.325,7.27096,320.326,322.306
30,30,0,2,2,3,2,0,1.0,29.0,322.328,2.0,3,323.286,high,0.958001,2.042,323.812,329.077,329.082,331.089,8.7608,331.089,333.07
31,31,1,1,2,3,0.5,0,1.0,30.0,333.084,3.0,0,334.323,low,1.23874,1.76126,334.857,338.328,338.329,340.341,7.25704,340.341,342.322
32,32,1,3,2,0,3.5,3,1.0,31.0,342.348,2.0,0,343.442,low,1.09457,1.90543,343.968,350.59,350.59,352.602,10.2545,352.603,354.599
33,33,0,3,4,3,3.5,0,1.0,32.0,354.622,3.0,0,355.896,low,1.27435,1.72565,356.433,362.883,362.883,364.895,10.2732,364.895,368.873
34,34,1,2,4,3,0.5,0,1.0,33.0,368.889,3.0,0,370.284,low,1.39431,1.60569,370.816,374.146,374.146,376.158,7.26851,376.158,380.136
35,35,1,3,3,0,3.5,3,1.0,34.0,380.163,2.0,0,381.337,low,1.17373,1.82627,381.86,388.419,388.42,390.447,10.2841,390.448,393.411
36,36,0,2,2,0,0.5,3,1.0,35.0,393.427,2.0,0,394.591,low,1.16402,1.83598,395.12,398.685,398.685,400.698,7.27048,400.698,402.679
