TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
25,25,0,1,2,3,0.5,0,1.0,24.0,271.739,999.0,999,274.744,999,0.0,0.0,274.778,276.984,999.0,999.0,727.261,278.997,280.978
26,26,0,3,4,3,0.5,0,1.0,25.0,280.983,999.0,999,283.996,999,0.0,0.0,284.025,286.235,999.0,999.0,718.017,288.248,292.225
27,27,0,1,4,0,0.5,3,1.0,26.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,1,2,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,1,2,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,0,2,2,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,1,2,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,1,3,2,0,3.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,0,3,4,3,3.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,1,2,4,3,0.5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,1,3,3,0,3.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,0,2,2,0,0.5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
