TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.0165,2.0,3,5.94485,high,1.92835,1.07165,6.47679,12.2563,12.2565,14.2686,10.2521,14.269,16.2654
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.2748,3.0,3,17.8817,high,1.6069,1.3931,18.4105,21.5225,21.5227,23.5349,7.26006,23.5352,27.5128
3,3,0,3,4,0,2,3,1.0,2.0,27.5187,2.0,0,29.4352,low,1.91647,1.08353,29.9697,34.2675,34.2677,36.2799,8.76116,36.2802,40.2734
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.2852,3.0,0,42.7891,low,2.50389,0.496109,43.323,45.5305,45.5307,47.5429,7.2577,47.5432,49.5397
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.5452,3.0,0,51.8584,low,2.31319,0.686811,52.3866,57.7919,57.7921,59.8042,10.2591,59.8045,61.801
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8108,2.0,0,63.5785,low,1.76766,1.23234,64.102,67.0581,67.0583,69.0705,7.25963,69.0708,72.0656
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.0709,3.0,3,73.7644,high,1.69351,1.30649,74.2885,77.3227,77.3278,79.3351,7.26427,79.3354,83.3131
8,8,1,3,2,0,2,3,1.0,7.0,83.3184,3.0,3,85.0682,high,1.74974,1.25026,85.5986,90.0677,90.073,92.0801,8.76164,92.0804,94.0768
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.0863,2.0,3,95.5712,high,1.48497,1.51503,96.0973,99.3495,99.3497,101.362,7.27566,101.362,103.343
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.355,2.0,0,105.074,low,1.71867,1.28133,105.597,108.616,108.616,110.628,7.2728,110.628,114.606
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.611,2.0,0,116.261,low,1.64916,1.35084,116.782,119.863,119.863,121.876,7.26408,121.876,123.872
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,123.881,2.0,3,125.78,high,1.89827,1.10173,126.314,129.129,129.134,131.142,7.26043,131.142,133.139
13,13,1,1,2,0,2,3,1.0,12.0,133.151,3.0,3,135.55,high,2.39874,0.601265,136.079,139.909,139.914,141.937,8.78587,141.937,143.902
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,143.908,3.0,3,145.586,high,1.67841,1.32159,146.11,149.159,149.164,151.172,7.26434,151.172,155.15
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.155,3.0,3,156.656,high,1.50055,1.49945,157.186,160.407,160.412,162.419,7.26391,162.42,165.414
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.427,2.0,3,167.342,high,1.91553,1.08447,167.871,170.687,170.692,172.715,7.28828,172.715,175.679
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.688,2.0,0,177.529,low,1.84054,1.15946,178.058,180.936,180.936,182.948,7.26038,182.949,184.93
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,184.942,3.0,0,186.631,low,1.68961,1.31039,187.153,193.197,193.198,195.21,10.2682,195.21,198.189
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.195,2.0,3,199.802,high,1.60666,1.39334,200.334,203.447,203.451,205.474,7.27936,205.475,207.44
20,20,1,3,4,0,2,3,1.0,19.0,207.45,2.0,0,209.154,low,1.70439,1.29561,209.679,214.21,214.211,216.223,8.77296,216.223,220.201
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.203,2.0,0,221.758,low,1.55536,1.44464,222.283,225.442,225.442,227.454,7.25154,227.455,229.451
22,22,0,1,4,3,2,0,1.0,21.0,229.464,3.0,0,231.344,low,1.88048,1.11952,231.878,236.222,236.222,238.234,8.76995,238.234,242.212
23,23,0,1,4,0,2,3,1.0,22.0,242.223,3.0,3,243.831,high,1.60892,1.39108,244.357,248.966,248.972,250.979,8.75636,250.979,254.972
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,254.985,3.0,0,257.119,low,2.13372,0.866278,257.648,260.245,260.245,262.257,7.27252,262.258,264.239
25,25,0,1,4,3,2,0,1.0,24.0,264.244,2.0,3,265.754,high,1.50998,1.49002,266.29,270.993,270.994,273.006,8.76152,273.006,276.984
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,276.993,3.0,3,278.625,high,1.63235,1.36765,279.16,282.241,282.241,284.253,7.2604,284.253,288.247
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.252,2.0,0,289.812,low,1.55962,1.44038,290.345,293.504,293.504,295.516,7.26404,295.516,298.496
28,28,1,2,2,0,2,3,1.0,27.0,298.498,2.0,0,300.181,low,1.68378,1.31622,300.703,305.25,305.25,307.263,8.76509,307.263,309.259
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.269,2.0,3,311.251,high,1.98243,1.01757,311.779,314.517,314.522,316.529,7.26007,316.529,318.526
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.531,2.0,3,320.004,high,1.47284,1.52716,320.53,323.783,323.788,325.811,7.27976,325.811,329.773
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,329.783,3.0,3,331.224,high,1.44131,1.55869,331.747,338.041,338.041,340.053,10.2708,340.054,342.034
32,32,0,3,2,3,2,0,1.0,31.0,342.048,2.0,3,343.794,high,1.74599,1.25401,344.32,348.789,348.794,350.817,8.7694,350.817,352.798
33,33,1,3,4,3,2,0,1.0,32.0,352.801,2.0,3,354.314,high,1.51333,1.48667,354.85,359.553,359.559,361.565,8.76472,361.566,365.543
34,34,1,1,2,3,3.50E+00,0,1.0,33.0,365.549,2.0,3,367.251,high,1.70235,1.29765,367.782,373.796,373.801,375.823,10.2748,375.824,377.789
35,35,0,1,2,3,5.00E-01,0,1.0,34.0,377.791,3.0,0,379.288,low,1.49709,1.50291,379.81,383.046,383.046,385.059,7.26767,385.059,387.04
36,36,0,3,4,3,3.50E+00,0,1.0,35.0,387.046,2.0,3,388.674,high,1.62855,1.37145,389.201,395.292,395.297,397.304,10.2588,397.305,401.298
