TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.01627,3.0,3,6.84657,high,2.8303,0.169695,7.38193,9.26116,9.2662,11.2891,7.27285,11.2895,15.2671
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.2804,3.0,0,17.833,low,2.55253,0.447474,18.3641,20.5398,20.5399,22.5522,7.27172,22.5525,24.5333
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.545,2.0,0,26.6357,low,2.09068,0.909317,27.1625,29.7904,29.7906,31.8028,7.25777,31.8031,35.7808
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.786,2.0,0,37.589,low,1.80299,1.19701,38.1132,41.0378,41.038,43.0502,7.2642,43.0505,45.0469
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.0593,2.0,3,47.0917,high,2.03247,0.967532,47.6131,50.3197,50.3247,52.3476,7.28834,52.3479,54.3132
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3226,3.0,3,56.1106,high,1.788,1.212,56.6456,62.581,62.5862,64.5934,10.2708,64.5937,68.5869
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6014,2.0,3,70.4486,low,1.84723,1.15277,70.9818,76.8548,76.8599,78.8671,10.2658,78.8674,80.8483
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.8578,2.0,0,82.6684,low,1.8106,1.1894,83.196,86.1054,86.1056,88.1178,7.26,88.1181,92.0957
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.1063,3.0,0,94.0555,low,1.94925,1.05075,94.5838,97.3684,97.3686,99.3808,7.27446,99.3811,101.362
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.366,3.0,0,103.842,low,2.47528,0.524717,104.365,106.619,106.619,108.631,7.26498,108.632,112.609
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.614,3.0,0,114.328,low,1.71474,1.28526,114.864,117.866,117.867,119.879,7.26508,119.879,121.86
12,12,0,2,3,0,2,3,1.0,11.0,121.869,3.0,3,123.931,high,2.06148,0.938523,124.458,128.615,128.62,130.627,8.75755,130.627,133.622
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.627,3.0,3,135.501,high,1.87355,1.12645,136.033,141.89,141.895,143.902,10.2749,143.903,146.866
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,146.872,2.0,0,148.772,low,1.89956,1.10044,149.292,152.123,152.124,154.136,7.26381,154.136,156.133
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.143,3.0,0,157.891,low,1.74832,1.25168,158.418,161.39,161.39,163.402,7.25945,163.402,167.396
16,16,0,2,2,3,2,0,1.0,15.0,167.401,3.0,0,169.194,low,1.79366,1.20634,169.728,174.15,174.15,176.163,8.76195,176.163,178.144
17,17,1,2,2,3,2,0,1.0,16.0,178.146,3.0,0,179.614,low,1.46826,1.53174,180.148,184.898,184.899,186.911,8.76506,186.911,188.908
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,188.921,2.0,0,190.9,low,1.97915,1.02085,191.427,197.16,197.16,199.172,10.2512,199.173,203.166
19,19,1,2,2,0,2,3,1.0,18.0,203.17,2.0,0,204.921,low,1.75166,1.24834,205.451,209.92,209.921,211.933,8.76303,211.933,213.93
20,20,1,3,4,3,5.00E-01,0,1.0,19.0,213.943,2.0,3,216.008,high,2.06485,0.93515,216.543,219.202,219.208,221.23,7.28707,221.231,225.193
21,21,0,2,2,0,5.00E-01,3,1.0,20.0,225.205,3.0,3,227.478,high,2.27302,0.726977,228.009,230.45,230.455,232.462,7.25701,232.462,234.443
22,22,1,1,4,0,5.00E-01,3,1.0,21.0,234.448,3.0,3,235.981,high,1.53296,1.46704,236.51,239.7,239.706,241.713,7.26503,241.713,245.706
23,23,1,2,4,0,5.00E-01,3,1.0,22.0,245.711,2.0,0,248.017,low,2.30647,0.693534,248.553,250.963,250.963,252.976,7.2647,252.976,256.969
24,24,0,1,2,3,2,0,1.0,23.0,256.982,2.0,3,258.787,high,1.8048,1.1952,259.317,263.724,263.729,265.736,8.7542,265.737,267.733
25,25,0,2,4,3,2,0,1.0,24.0,267.737,3.0,0,269.64,low,1.90337,1.09663,270.174,274.488,274.488,276.5,8.76296,276.5,280.494
26,26,0,3,2,0,5.00E-01,3,1.0,25.0,280.507,2.0,0,282.211,low,1.70414,1.29586,282.732,285.751,285.751,287.763,7.2564,287.763,289.744
27,27,1,3,2,0,5.00E-01,3,1.0,26.0,289.747,2.0,0,292.297,low,2.55005,0.449951,292.825,295.001,295.001,297.014,7.26706,297.014,298.995
28,28,1,1,3,3,2,0,1.0,27.0,299.007,3.0,0,301.4,low,2.39291,0.607087,301.936,305.75,305.75,307.762,8.755,307.762,310.757
29,29,0,1,2,0,3.50E+00,3,1.0,28.0,310.766,2.0,0,313.07,low,2.30351,0.696486,313.604,319.025,319.025,321.037,10.2708,321.038,323.003
30,30,1,1,2,3,5.00E-01,0,1.0,29.0,323.012,2.0,3,324.656,high,1.6441,1.3559,325.179,328.26,328.265,330.272,7.26022,330.273,332.253
31,31,0,3,4,0,3.50E+00,3,1.0,30.0,332.267,2.0,0,333.893,low,1.62546,1.37454,334.414,340.506,340.506,342.518,10.2509,342.518,346.512
32,32,0,1,4,0,2,3,1.0,31.0,346.517,3.0,3,348.88,high,2.36298,0.637023,349.406,353.266,353.271,355.279,8.76168,355.279,359.257
33,33,1,3,2,3,5.00E-01,0,1.0,32.0,359.269,2.0,3,360.701,high,1.432,1.568,361.23,364.514,364.519,366.542,7.27311,366.542,368.523
34,34,0,1,2,3,5.00E-01,0,1.0,33.0,368.528,3.0,0,369.903,low,1.37509,1.62491,370.434,373.78,373.78,375.792,7.26413,375.793,377.773
35,35,0,3,3,3,2,0,1.0,34.0,377.778,3.0,0,379.456,low,1.67729,1.32271,379.979,384.526,384.526,386.538,8.76002,386.539,389.533
36,36,1,1,3,3,2,0,1.0,35.0,389.539,2.0,3,391.093,high,1.55336,1.44664,391.616,396.288,396.293,398.316,8.77664,398.316,401.296
