TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.03454,3.0,3,6.7521,high,2.71756,0.28244,7.28341,9.2869,9.29385,11.2993,7.26476,11.2997,15.2928
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.3183,2.0,3,16.8218,high,1.50352,1.49648,17.3443,20.5656,20.5711,22.5935,7.27523,22.5938,24.5591
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.5804,3.0,3,25.8245,high,1.24414,1.75586,26.3454,29.8329,29.8385,31.8453,7.26492,31.8456,35.8232
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8402,3.0,3,36.5777,high,0.737479,2.26252,37.1112,41.0803,41.0854,43.0927,7.25251,43.0931,45.0895
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1154,3.0,0,47.4144,low,2.29897,0.701029,47.9368,50.3622,50.3624,52.3902,7.27481,52.3905,54.3714
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.3942,3.0,3,56.4837,high,2.08953,0.910469,57.0157,62.6549,62.66,64.6673,10.2731,64.6676,68.6297
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6614,999.0,999,71.6711,999,0.0,0.0,71.699,76.8975,999.0,999.0,930.339,78.9258,80.9067
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.9289,2.0,0,82.8583,low,1.92939,1.07061,83.3793,86.1795,86.1796,88.1918,7.26295,88.1921,92.1708
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.1929,3.0,0,93.511,low,1.31815,1.68185,94.0355,97.4435,97.4437,99.4559,7.263,99.4562,101.453
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.466,3.0,0,103.314,low,1.84818,1.15182,103.847,106.725,106.726,108.738,7.27152,108.738,112.716
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.733,2.0,3,114.234,high,1.50177,1.49823,114.767,117.988,117.993,120.001,7.26821,120.001,121.982
12,12,0,2,3,0,2,3,1.0,11.0,122.004,2.0,0,123.537,low,1.53273,1.46727,124.065,128.752,128.753,130.78,8.77588,130.781,133.76
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.773,3.0,3,135.024,high,1.25055,1.74945,135.546,142.028,142.033,144.04,10.2668,144.04,147.035
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,147.054,2.0,0,148.328,low,1.27417,1.72583,148.853,152.292,152.293,154.321,7.26768,154.322,156.303
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.326,3.0,0,157.814,low,1.48801,1.51199,158.339,161.575,161.576,163.588,7.26212,163.588,167.581
16,16,0,2,2,3,2,0,1.0,15.0,167.598,2.0,3,168.667,high,1.06896,1.93104,169.196,174.352,174.357,176.364,8.76555,176.364,178.361
17,17,1,2,2,3,2,0,1.0,16.0,178.376,2.0,3,179.737,high,1.36186,1.63814,180.272,185.131,185.137,187.159,8.78357,187.159,189.125
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,189.15,2.0,0,191.091,low,1.94042,1.05958,191.613,197.408,197.408,199.421,10.2702,199.421,203.398
19,19,1,2,2,0,2,3,1.0,18.0,203.416,2.0,0,205.162,low,1.74551,1.25449,205.684,210.169,210.169,212.181,8.76503,212.181,214.162
20,20,1,3,4,3,5.00E-01,0,1.0,19.0,214.19,2.0,3,215.365,high,1.17457,1.82543,215.887,219.436,219.442,221.448,7.25829,221.449,225.426
21,21,0,2,2,0,5.00E-01,3,1.0,20.0,225.451,3.0,3,226.701,high,1.2506,1.7494,227.228,230.699,230.704,232.727,7.2763,232.727,234.708
22,22,1,1,4,0,5.00E-01,3,1.0,21.0,234.722,2.0,0,235.671,low,0.94862,2.05138,236.198,239.981,239.981,241.993,7.27126,241.994,245.971
23,23,1,2,4,0,5.00E-01,3,1.0,22.0,245.989,3.0,3,247.174,high,1.18557,1.81443,247.695,251.244,251.25,253.257,7.26781,253.257,257.25
24,24,0,1,2,3,2,0,1.0,23.0,257.271,2.0,3,258.394,high,1.12349,1.87651,258.928,264.02,264.026,266.033,8.76198,266.033,268.014
25,25,0,2,4,3,2,0,1.0,24.0,268.031,2.0,3,268.931,high,0.899958,2.10004,269.457,274.784,274.789,276.797,8.76584,276.797,280.791
26,26,0,3,2,0,5.00E-01,3,1.0,25.0,280.817,2.0,0,281.968,low,1.15057,1.84943,282.5,286.08,286.08,288.092,7.27448,288.092,290.073
