TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.03764,3.0,0,6.11783,low,2.08019,0.919814,6.64483,12.2839,12.2841,14.2963,10.2587,14.2967,16.2931
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.313,2.0,0,18.9384,low,2.62537,0.374635,19.4678,21.5658,21.566,23.5782,7.26518,23.5785,27.5562
3,3,0,3,4,0,2,3,1.0,2.0,27.5743,2.0,0,28.6746,low,1.10023,1.89977,29.2028,34.3265,34.3266,36.3389,8.76453,36.3392,40.3324
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3559,2.0,3,43.2618,high,2.90588,0.0941164,43.7881,45.6051,45.6103,47.6331,7.27717,47.6334,49.5987
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.6167,3.0,0,50.6812,low,1.06447,1.93553,51.2133,57.8666,57.8668,59.879,10.2623,59.8793,61.8758
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8984,2.0,0,63.1683,low,1.26991,1.73009,63.6934,67.1484,67.1486,69.1609,7.26253,69.1612,72.1561
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.174,2.0,0,73.338,low,1.16405,1.83595,73.8657,77.4298,77.4299,79.4422,7.26818,79.4425,83.4201
8,8,1,3,2,0,2,3,1.0,7.0,83.4383,2.0,0,84.4246,low,0.986367,2.01363,84.9567,90.1904,90.1906,92.2028,8.76457,92.2031,94.184
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.2059,2.0,3,95.2775,high,1.0715,1.9285,95.7988,99.4567,99.462,101.485,7.27878,101.485,103.45
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.471,2.0,0,104.497,low,1.02604,1.97396,105.018,108.723,108.723,110.735,7.26417,110.736,114.713
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.73,2.0,0,115.801,low,1.07042,1.92958,116.328,119.97,119.971,121.983,7.25256,121.983,123.98
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,124.002,2.0,3,125.32,high,1.31832,1.68168,125.844,129.252,129.258,131.265,7.26284,131.265,133.262
13,13,1,1,2,0,2,3,1.0,12.0,133.283,2.0,0,134.423,low,1.14034,1.85966,134.954,140.033,140.033,142.045,8.76261,142.046,144.026
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.043,2.0,0,145.193,low,1.14956,1.85044,145.719,149.299,149.299,151.312,7.2682,151.312,155.289
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.308,2.0,0,156.13,low,0.821889,2.17811,156.655,160.547,160.547,162.559,7.2514,162.559,165.57
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.594,3.0,0,166.649,low,1.05533,1.94467,167.185,170.843,170.843,172.855,7.26091,172.855,175.85
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.872,2.0,0,176.969,low,1.09687,1.90313,177.496,181.123,181.123,183.135,7.26292,183.135,185.116
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.138,2.0,3,185.972,high,0.83373,2.16627,186.497,193.384,193.389,195.412,10.2742,195.413,198.393
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.411,2.0,3,200.876,high,2.46431,0.535686,201.411,203.666,203.672,205.678,7.26643,205.678,207.659
20,20,1,3,4,0,2,3,1.0,19.0,207.682,2.0,0,208.579,low,0.896198,2.1038,209.102,214.429,214.43,216.442,8.75939,216.442,220.435
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.451,2.0,0,221.532,low,1.08138,1.91862,222.066,225.708,225.708,227.72,7.2694,227.721,229.702
22,22,0,1,4,3,2,0,1.0,21.0,229.723,3.0,0,231.485,low,1.76261,1.23739,232.018,236.472,236.472,238.484,8.76151,238.485,242.478
23,23,0,1,4,0,2,3,1.0,22.0,242.496,2.0,0,243.489,low,0.992756,2.00724,244.014,249.248,249.248,251.261,8.76434,251.261,255.239
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.263,2.0,3,256.292,high,1.02977,1.97023,256.823,260.512,260.517,262.525,7.26203,262.525,264.521
25,25,0,1,4,3,2,0,1.0,24.0,264.535,2.0,3,265.379,high,0.843782,2.15622,265.902,271.276,271.281,273.304,8.76897,273.304,277.282
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.301,2.0,0,278.15,low,0.848756,2.15124,278.678,282.555,282.555,284.567,7.26651,284.568,288.545
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.562,2.0,0,289.469,low,0.907046,2.09295,290.004,293.802,293.802,295.815,7.25261,295.815,298.81
28,28,1,2,2,0,2,3,1.0,27.0,298.825,2.0,0,301.273,low,2.44853,0.551474,301.798,305.58,305.58,307.593,8.768,307.593,309.574
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.596,2.0,3,310.726,high,1.13037,1.86963,311.251,314.847,314.852,316.859,7.26333,316.859,318.84
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.855,2.0,3,319.845,high,0.990287,2.00971,320.378,324.097,324.102,326.11,7.25458,326.11,330.119
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,330.137,2.0,0,331.132,low,0.995173,2.00483,331.655,338.387,338.387,340.399,10.262,340.399,342.38
32,32,0,3,2,3,2,0,1.0,31.0,342.406,2.0,3,343.435,high,1.02905,1.97095,343.964,349.15,349.156,351.178,8.7722,351.179,353.16
33,33,1,3,4,3,2,0,1.0,32.0,353.175,2.0,3,354.289,high,1.11352,1.88648,354.821,359.93,359.935,361.942,8.76684,361.943,365.92
34,34,1,1,2,3,3.50E+00,0,1.0,33.0,365.934,2.0,3,366.976,high,1.04242,1.95758,367.504,374.173,374.178,376.201,10.2669,376.201,378.182
35,35,0,1,2,3,5.00E-01,0,1.0,34.0,378.192,3.0,0,379.529,low,1.33713,1.66287,380.062,383.439,383.439,385.452,7.26004,385.453,387.433
36,36,0,3,4,3,3.50E+00,0,1.0,35.0,387.452,2.0,3,388.666,high,1.21368,1.78632,389.188,395.701,395.707,397.714,10.2619,397.714,401.707
