TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,0,2,3,1.0,0.0,4.0516,999.0,999.0,7.05229,999.0,0.0,0.0,7.08201,10.8042,999.0,999.0,994.948,12.817,14.8133
2,2,0,2,3,3,3.5,0,1.0,1.0,14.8385,2.0,3,16.7223,high,1.88384,1.11616,17.2551,23.0968,23.102,25.1092,10.2707,25.1095,28.0888
3,3,0,2,4,3,2,0,1.0,2.0,28.1033,3.0,0,29.9765,low,1.87319,1.12681,30.4996,34.8435,34.8437,36.8559,8.7526,36.8562,40.8651
4,4,0,2,2,0,0.5,3,1.0,3.0,40.8881,2.0,0,42.8969,low,2.00876,0.991244,43.4313,46.1378,46.1379,48.1502,7.26207,48.1505,50.1313
5,5,1,1,2,0,0.5,3,1.0,4.0,50.1451,999.0,999,53.1494,999,0.0,0.0,53.1832,55.3885,999.0,999.0,948.855,57.4021,59.383
6,6,0,1,4,3,0.5,0,1.0,5.0,59.4014,2.0,3,60.2354,high,0.834052,2.16595,60.764,64.6558,64.6613,66.6682,7.26678,66.6685,70.6461
7,7,1,3,2,3,0.5,0,1.0,6.0,70.6653,2.0,3,73.0392,high,2.37392,0.626079,73.5713,75.9032,75.909,77.9312,7.2659,77.9315,79.9124
8,8,1,3,4,3,2,0,1.0,7.0,79.928,2.0,3,81.4751,high,1.54713,1.45287,82.0106,86.6827,86.6829,88.6951,8.76713,88.6954,92.673
9,9,1,3,2,0,0.5,3,1.0,8.0,92.6964,3.0,3,94.8958,high,2.19942,0.800582,95.4264,97.9458,97.946,99.9582,7.26178,99.9585,101.955
10,10,0,1,3,0,0.5,3,1.0,9.0,101.969,2.0,0,103.915,low,1.94652,1.05348,104.443,107.228,107.228,109.24,7.27138,109.24,112.22
11,11,1,2,2,3,0.5,0,1.0,10.0,112.244,999.0,999,115.251,999,0.0,0.0,115.282,117.492,999.0,999.0,886.756,119.506,121.487
12,12,0,1,2,3,2,0,1.0,11.0,121.5,2.0,3,122.621,high,1.12031,1.87969,123.149,128.258,128.264,130.271,8.77016,130.271,132.236
13,13,1,1,4,0,0.5,3,1.0,12.0,132.256,2.0,0,133.357,low,1.10076,1.89924,133.882,137.509,137.509,139.521,7.26519,139.522,143.515
14,14,1,3,3,0,3.5,3,1.0,13.0,143.534,3.0,3,145.128,high,1.59398,1.40602,145.66,151.783,151.788,153.795,10.2616,153.795,156.775
15,15,0,3,4,3,2,0,1.0,14.0,156.798,2.0,3,158.048,high,1.25042,1.74958,158.576,163.545,163.55,165.573,8.77533,165.573,169.551
16,16,1,2,2,3,2,0,1.0,15.0,169.568,2.0,3,171.619,high,2.05081,0.949188,172.149,176.321,176.326,178.334,8.76563,178.334,180.33
17,17,1,1,4,0,3.5,3,1.0,16.0,180.353,2.0,0,182.188,low,1.83493,1.16507,182.711,188.599,188.599,190.612,10.2587,190.612,194.605
18,18,0,3,4,0,0.5,3,1.0,17.0,194.624,3.0,3,196.159,high,1.5355,1.4645,196.688,199.878,199.883,201.89,7.26645,201.891,205.884
19,19,0,1,4,3,0.5,0,1.0,18.0,205.905,2.0,3,207.212,high,1.30737,1.69263,207.749,211.157,211.162,213.185,7.27967,213.185,217.147
20,20,0,2,4,0,2,3,1.0,19.0,217.172,3.0,3,219.116,high,1.94422,1.05578,219.651,223.917,223.924,225.93,8.75799,225.93,229.923
21,21,0,3,2,3,2,0,1.0,20.0,229.949,2.0,3,232.12,high,2.17122,0.828783,232.645,236.709,236.714,238.722,8.7725,238.722,240.687
22,22,1,2,4,0,2,3,1.0,21.0,240.712,2.0,0,242.04,low,1.32838,1.67162,242.567,247.459,247.46,249.472,8.76023,249.472,253.45
23,23,1,1,2,3,0.5,0,1.0,22.0,253.47,2.0,3,254.644,high,1.17331,1.82669,255.174,258.723,258.728,260.751,7.28007,260.751,262.716
24,24,0,3,2,0,0.5,3,1.0,23.0,262.742,3.0,3,265.097,high,2.355,0.645001,265.626,267.989,267.994,270.001,7.25937,270.002,271.982
25,25,0,1,2,3,0.5,0,1.0,24.0,272.004,3.0,0,274.616,low,2.61276,0.38724,275.142,277.255,277.255,279.268,7.26389,279.268,281.249
26,26,0,3,4,3,0.5,0,1.0,25.0,281.267,3.0,0,283.936,low,2.66903,0.330967,284.47,286.521,286.522,288.534,7.267,288.534,292.527
27,27,0,1,4,0,0.5,3,1.0,26.0,292.548,2.0,0,295.106,low,2.55765,0.442351,295.64,297.8,297.8,299.813,7.26428,299.813,303.79
28,28,1,2,2,0,0.5,3,1.0,27.0,303.807,999.0,999,306.809,999,0.0,0.0,306.839,309.064,999.0,999.0,695.193,311.077,313.058
29,29,1,2,2,0,0.5,3,1.0,28.0,313.072,2.0,0,313.912,low,0.839362,2.16064,314.439,318.315,318.315,320.327,7.25504,320.328,322.324
30,30,0,2,2,3,2,0,1.0,29.0,322.346,2.0,3,323.798,high,1.45169,1.54831,324.329,329.094,329.099,331.122,8.77616,331.123,333.104
