TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.03769,999.0,999.0,7.05347,999.0,0.0,0.0,7.08732,12.2864,999.0,999.0,994.962,14.3049,16.2876
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.3058,2.0,0,17.457,low,1.15117,1.84883,17.9812,21.5558,21.5559,23.5738,7.26799,23.5741,27.555
3,3,0,3,4,0,2,3,1.0,2.0,27.5733,3.0,3,29.0604,high,1.48707,1.51293,29.5842,34.3222,34.3271,36.3443,8.77099,36.3446,40.3224
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3471,2.0,3,41.8475,high,1.50035,1.49965,42.3715,45.5966,45.6017,47.6136,7.26653,47.6139,49.5957
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.6189,3.0,0,50.9496,low,1.3307,1.6693,51.4738,57.868,57.8682,59.8841,10.2652,59.8844,61.8682
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8915,2.0,0,63.2703,low,1.37879,1.62121,63.7942,67.1403,67.1405,69.1534,7.26186,69.1537,72.1405
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.1576,2.0,0,73.6062,low,1.44855,1.55145,74.1305,77.4067,77.4069,79.4228,7.26516,79.4231,83.4059
8,8,1,3,2,0,2,3,1.0,7.0,83.4247,2.0,0,85.3768,low,1.9521,1.0479,85.9,90.1741,90.1743,92.1772,8.75252,92.1775,94.1743
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.1974,2.0,3,95.796,high,1.59853,1.40147,96.3204,99.4464,99.452,101.463,7.26509,101.463,103.447
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.467,3.0,3,104.816,high,1.34843,1.65157,105.34,108.717,108.722,110.732,7.26452,110.732,114.717
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.734,3.0,3,116.052,high,1.31748,1.68252,116.576,119.983,119.988,122.002,7.2679,122.003,123.983
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,124.005,2.0,3,125.205,high,1.19971,1.80029,125.729,129.254,129.255,131.272,7.2662,131.272,133.255
13,13,1,1,2,0,2,3,1.0,12.0,133.276,3.0,3,134.557,high,1.2816,1.7184,135.082,140.025,140.031,142.041,8.76533,142.041,144.025
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.042,3.0,3,145.244,high,1.20145,1.79855,145.768,149.292,149.297,151.31,7.26804,151.311,155.292
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.311,3.0,3,156.864,high,1.55293,1.44707,157.388,160.561,160.566,162.581,7.26939,162.581,165.561
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.585,3.0,0,167.151,low,1.56544,1.43456,167.674,170.834,170.834,172.85,7.26496,172.85,175.834
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.857,3.0,3,178.02,high,2.1638,0.836197,178.544,181.105,181.111,183.12,7.26374,183.121,185.106
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.129,2.0,3,187.056,high,1.92778,1.07222,187.58,193.378,193.383,195.39,10.2613,195.39,198.378
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.396,3.0,0,200.177,low,1.78033,1.21967,200.702,203.646,203.646,205.66,7.26368,205.66,207.646
20,20,1,3,4,0,2,3,1.0,19.0,207.67,3.0,3,209.779,high,2.10929,0.890708,210.303,214.419,214.425,216.43,8.75969,216.43,220.419
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.436,3.0,3,221.633,high,1.19744,1.80256,222.157,225.684,225.689,227.7,7.26431,227.7,229.685
22,22,0,1,4,3,2,0,1.0,21.0,229.706,2.0,3,231.119,high,1.41355,1.58645,231.643,236.455,236.461,238.469,8.76373,238.47,242.454
