TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,0,2,3,1.0,0.0,4.052,999.0,999.0,7.06481,999.0,0.0,0.0,7.10012,10.8033,999.0,999.0,994.948,12.8161,14.7979
2,2,0,2,3,3,3.5,0,1.0,1.0,14.8258,3.0,0,16.7016,low,1.87575,1.12425,17.2245,23.0658,23.066,25.0782,10.2523,25.0785,28.0733
3,3,0,2,4,3,2,0,1.0,2.0,28.0878,3.0,0,30.139,low,2.05122,0.948778,30.6713,34.8437,34.8438,36.856,8.76827,36.8563,40.834
4,4,0,2,2,0,0.5,3,1.0,3.0,40.8555,2.0,0,42.9428,low,2.08732,0.912679,43.4799,46.1067,46.1069,48.1035,7.24801,48.1038,50.1023
5,5,1,1,2,0,0.5,3,1.0,4.0,50.1156,2.0,0,51.9955,low,1.87984,1.12016,52.5288,55.375,55.3752,57.3874,7.2718,57.3877,59.3686
6,6,0,1,4,3,0.5,0,1.0,5.0,59.3867,3.0,0,60.7481,low,1.36148,1.63852,61.2804,64.6413,64.6415,66.6536,7.26696,66.6539,70.6317
7,7,1,3,2,3,0.5,0,1.0,6.0,70.6532,2.0,3,72.5012,high,1.84806,1.15194,73.0267,75.9044,75.9105,77.9168,7.26365,77.9171,79.9136
8,8,1,3,4,3,2,0,1.0,7.0,79.9297,2.0,3,81.9713,high,2.04156,0.958442,82.496,86.6703,86.6705,88.6827,8.75296,88.683,92.6762
9,9,1,3,2,0,0.5,3,1.0,8.0,92.6992,3.0,3,94.958,high,2.25877,0.74123,95.4927,97.949,97.9492,99.9613,7.26213,99.9616,101.942
10,10,0,1,3,0,0.5,3,1.0,9.0,101.956,2.0,0,104.611,low,2.65552,0.344479,105.133,107.2,107.2,109.212,7.25623,109.212,112.207
11,11,1,2,2,3,0.5,0,1.0,10.0,112.232,2.0,3,114.63,high,2.39857,0.601431,115.164,117.48,117.485,119.493,7.26163,119.494,121.49
12,12,0,1,2,3,2,0,1.0,11.0,121.503,2.0,3,124.0,high,2.49723,0.502769,124.525,128.26,128.266,130.288,8.78514,130.289,132.254
13,13,1,1,4,0,0.5,3,1.0,12.0,132.273,2.0,0,134.27,low,1.99679,1.00321,134.805,137.527,137.527,139.539,7.26569,139.539,143.517
14,14,1,3,3,0,3.5,3,1.0,13.0,143.535,3.0,3,145.64,high,2.10525,0.894748,146.162,151.785,151.79,153.815,10.2799,153.815,156.779
15,15,0,3,4,3,2,0,1.0,14.0,156.801,2.0,3,158.894,high,2.09305,0.906948,159.424,163.549,163.554,165.562,8.76032,165.562,169.54
16,16,1,2,2,3,2,0,1.0,15.0,169.556,2.0,3,171.731,high,2.17512,0.824878,172.262,176.294,176.3,178.322,8.76588,178.323,180.303
17,17,1,1,4,0,3.5,3,1.0,16.0,180.324,3.0,3,182.751,high,2.42709,0.572908,183.276,188.573,188.579,190.586,10.2613,190.586,194.564
18,18,0,3,4,0,0.5,3,1.0,17.0,194.582,2.0,0,197.006,low,2.42364,0.576359,197.536,199.821,199.821,201.833,7.25115,201.834,205.842
19,19,0,1,4,3,0.5,0,1.0,18.0,205.863,2.0,3,208.342,high,2.47872,0.521282,208.877,211.115,211.12,213.127,7.26416,213.128,217.105
20,20,0,2,4,0,2,3,1.0,19.0,217.129,3.0,3,219.112,high,1.98286,1.01714,219.641,223.879,223.884,225.891,8.76165,225.891,229.885
21,21,0,3,2,3,2,0,1.0,20.0,229.91,2.0,3,231.866,high,1.95591,1.04409,232.389,236.655,236.662,238.667,8.75706,238.668,240.648
22,22,1,2,4,0,2,3,1.0,21.0,240.673,2.0,0,242.386,low,1.71324,1.28676,242.919,247.419,247.419,249.431,8.75854,249.432,253.425
23,23,1,1,2,3,0.5,0,1.0,22.0,253.446,2.0,3,255.24,high,1.79396,1.20604,255.773,258.699,258.704,260.727,7.28068,260.727,262.692
24,24,0,3,2,0,0.5,3,1.0,23.0,262.718,3.0,3,265.293,high,2.57463,0.425373,265.82,267.965,267.97,269.977,7.25896,269.978,271.958
25,25,0,1,2,3,0.5,0,1.0,24.0,271.979,2.0,3,273.795,high,1.8162,1.1838,274.323,277.231,277.237,279.243,7.26428,279.244,281.24
26,26,0,3,4,3,0.5,0,1.0,25.0,281.259,3.0,0,282.931,low,1.6723,1.3277,283.464,286.497,286.498,288.51,7.25105,288.51,292.521
27,27,0,1,4,0,0.5,3,1.0,26.0,292.542,2.0,0,294.651,low,2.10931,0.890695,295.181,297.794,297.794,299.806,7.26415,299.806,303.784
28,28,1,2,2,0,0.5,3,1.0,27.0,303.801,3.0,3,305.622,high,1.82106,1.17894,306.148,309.041,309.047,311.054,7.25295,311.054,313.05
29,29,1,2,2,0,0.5,3,1.0,28.0,313.065,3.0,3,314.808,high,1.74297,1.25703,315.336,318.307,318.308,320.32,7.25506,320.32,322.317
30,30,0,2,2,3,2,0,1.0,29.0,322.338,2.0,3,324.227,high,1.88881,1.11119,324.758,329.073,329.079,331.101,8.76291,331.102,333.083
31,31,1,1,2,3,0.5,0,1.0,30.0,333.096,2.0,3,335.147,high,2.05125,0.948749,335.68,338.355,338.361,340.368,7.27173,340.368,342.349
32,32,1,3,2,0,3.5,3,1.0,31.0,342.375,3.0,3,344.483,high,2.10851,0.891488,345.009,350.617,350.622,352.629,10.2542,352.629,354.626
33,33,0,3,4,3,3.5,0,1.0,32.0,354.649,2.0,3,356.504,high,1.85499,1.14501,357.037,362.91,362.916,364.923,10.2742,364.923,368.901
34,34,1,2,4,3,0.5,0,1.0,33.0,368.918,2.0,3,370.791,high,1.87349,1.12651,371.327,374.158,374.163,376.17,7.25247,376.17,380.179
35,35,1,3,3,0,3.5,3,1.0,34.0,380.206,2.0,0,381.845,low,1.63871,1.36129,382.371,388.463,388.463,390.475,10.2694,390.476,393.455
36,36,0,2,2,0,0.5,3,1.0,35.0,393.472,3.0,3,395.232,high,1.75995,1.24005,395.756,398.713,398.718,400.741,7.26895,400.741,402.722
