TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,3,3.50E+00,0,1.0,0.0,4.03369,2.0,3,5.67032,high,1.63663,1.36337,6.20593,12.2833,12.2889,14.3112,10.2775,14.3116,16.2768
2,2,1,1,4,0,5.00E-01,3,1.0,1.0,16.2948,3.0,3,18.3246,high,2.02974,0.970257,18.8591,21.5495,21.5497,23.5619,7.26707,23.5622,27.5399
3,3,0,3,4,0,2,3,1.0,2.0,27.5577,3.0,3,29.4775,high,1.91973,1.08027,30.0128,34.3102,34.3155,36.3226,8.76484,36.3229,40.3162
4,4,0,2,2,3,5.00E-01,0,1.0,3.0,40.3404,2.0,3,42.0312,high,1.69084,1.30916,42.5572,45.5909,45.5959,47.6032,7.26284,47.6035,49.5844
5,5,1,3,2,3,3.50E+00,0,1.0,4.0,49.603,3.0,0,51.1501,low,1.54711,1.45289,51.683,57.8523,57.8525,59.8647,10.2617,59.865,61.8615
6,6,0,3,3,0,5.00E-01,3,1.0,5.0,61.8843,2.0,0,63.9049,low,2.02068,0.979322,64.4281,67.1342,67.1344,69.1466,7.26231,69.1469,72.1418
7,7,0,2,4,0,5.00E-01,3,1.0,6.0,72.1589,2.0,0,73.9246,low,1.76575,1.23425,74.4586,77.4155,77.4157,79.4279,7.26904,79.4282,83.4058
8,8,1,3,2,0,2,3,1.0,7.0,83.4246,3.0,3,85.2447,high,1.8201,1.1799,85.7696,90.1762,90.1817,92.2041,8.77956,92.2044,94.1697
9,9,1,3,2,3,5.00E-01,0,1.0,8.0,94.1929,2.0,3,96.498,high,2.3051,0.694899,97.0326,99.4424,99.4426,101.455,7.2619,101.455,103.436
10,10,0,1,4,0,5.00E-01,3,1.0,9.0,103.457,3.0,3,105.184,high,1.72692,1.27308,105.706,108.709,108.714,110.721,7.26404,110.721,114.702
11,11,1,2,2,0,5.00E-01,3,1.0,10.0,114.719,3.0,3,116.704,high,1.98511,1.01489,117.237,119.975,119.981,121.987,7.26816,121.988,123.968
12,12,1,2,2,3,5.00E-01,0,1.0,11.0,123.991,2.0,3,125.657,high,1.66648,1.33352,126.192,129.241,129.241,131.253,7.26298,131.254,133.25
13,13,1,1,2,0,2,3,1.0,12.0,133.271,2.0,0,135.21,low,1.93851,1.06149,135.739,140.021,140.021,142.033,8.76179,142.033,144.014
14,14,0,2,4,0,5.00E-01,3,1.0,13.0,144.031,3.0,3,146.08,high,2.04837,0.95163,146.612,149.289,149.294,151.317,7.28566,151.317,155.279
15,15,1,3,3,0,5.00E-01,3,1.0,14.0,155.298,3.0,3,157.1,high,1.80169,1.19831,157.627,160.552,160.558,162.564,7.26645,162.565,165.56
16,16,0,2,3,3,5.00E-01,0,1.0,15.0,165.584,3.0,0,167.436,low,1.85232,1.14768,167.97,170.848,170.848,172.86,7.27648,172.861,175.84
17,17,1,2,2,0,5.00E-01,3,1.0,16.0,175.863,3.0,3,177.989,high,2.12578,0.874221,178.516,181.113,181.118,183.127,7.26347,183.127,185.108
18,18,0,2,3,3,3.50E+00,0,1.0,17.0,185.13,2.0,3,186.975,high,1.84558,1.15442,187.503,193.376,193.383,195.388,10.2587,195.389,198.383
19,19,0,3,2,3,5.00E-01,0,1.0,18.0,198.402,3.0,0,200.379,low,1.97772,1.02228,200.904,203.656,203.656,205.669,7.26712,205.669,207.65
20,20,1,3,4,0,2,3,1.0,19.0,207.673,3.0,3,209.699,high,2.02607,0.973933,210.232,214.42,214.426,216.433,8.75991,216.433,220.411
21,21,0,3,2,0,5.00E-01,3,1.0,20.0,220.427,3.0,3,222.269,high,1.84182,1.15818,222.791,225.669,225.674,227.681,7.25413,227.681,229.678
22,22,0,1,4,3,2,0,1.0,21.0,229.699,2.0,3,231.538,high,1.83901,1.16099,232.073,236.448,236.453,238.476,8.77746,238.476,242.438
23,23,0,1,4,0,2,3,1.0,22.0,242.456,2.0,0,244.075,low,1.61852,1.38148,244.6,249.209,249.209,251.221,8.76478,251.221,255.217
24,24,0,2,2,3,5.00E-01,0,1.0,23.0,255.241,2.0,3,257.146,high,1.90545,1.09455,257.674,260.489,260.495,262.517,7.27655,262.518,264.483
25,25,0,1,4,3,2,0,1.0,24.0,264.496,3.0,0,266.616,low,2.11936,0.880644,267.143,271.253,271.253,273.266,8.76927,273.266,277.244
26,26,0,1,4,0,5.00E-01,3,1.0,25.0,277.262,2.0,0,279.62,low,2.35789,0.642113,280.153,282.516,282.517,284.529,7.26694,284.529,288.509
27,27,1,2,3,0,5.00E-01,3,1.0,26.0,288.526,2.0,0,290.306,low,1.78013,1.21987,290.841,293.781,293.782,295.794,7.26773,295.794,298.773
28,28,1,2,2,0,2,3,1.0,27.0,298.788,3.0,3,300.676,high,1.88731,1.11269,301.199,305.544,305.549,307.556,8.76783,307.556,309.537
29,29,1,2,2,3,5.00E-01,0,1.0,28.0,309.561,2.0,3,311.429,high,1.86765,1.13235,311.964,314.81,314.81,316.807,7.24563,316.807,318.819
30,30,1,1,4,3,5.00E-01,0,1.0,29.0,318.832,2.0,3,320.849,high,2.0168,0.983205,321.37,324.093,324.099,326.121,7.28896,326.121,330.083
31,31,1,1,2,0,3.50E+00,3,1.0,30.0,330.101,3.0,3,331.802,high,1.7007,1.2993,332.338,338.351,338.351,340.379,10.2778,340.379,342.36
32,32,0,3,2,3,2,0,1.0,31.0,342.386,2.0,3,344.756,high,2.36965,0.630354,345.286,349.146,349.151,351.159,8.77234,351.159,353.124
33,33,1,3,4,3,2,0,1.0,32.0,353.14,3.0,0,354.742,low,1.60265,1.39735,355.27,359.897,359.897,361.909,8.7693,361.909,365.887
34,34,1,1,2,3,3.50E+00,0,1.0,33.0,365.9,2.0,3,367.779,high,1.87864,1.12136,368.313,374.139,374.145,376.167,10.2667,376.167,378.148
35,35,0,1,2,3,5.00E-01,0,1.0,34.0,378.159,2.0,3,379.683,high,1.52446,1.47554,380.216,383.405,383.411,385.418,7.25903,385.418,387.399
36,36,0,3,4,3,3.50E+00,0,1.0,35.0,387.418,3.0,0,389.586,low,2.16807,0.831935,390.121,395.669,395.669,397.681,10.2637,397.682,401.675
