TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,1,4,0,5.00E-01,3,1.0,0.0,4.03429,3.0,3,5.7991,high,1.76481,1.23519,6.32958,9.28485,9.2851,11.2973,7.263,11.2977,15.2908
2,2,1,3,2,3,5.00E-01,0,1.0,1.0,15.3167,2.0,3,16.8191,high,1.50238,1.49762,17.3429,20.5801,20.5855,22.6081,7.29136,22.6084,24.558
3,3,1,1,4,0,5.00E-01,3,1.0,2.0,24.5785,2.0,0,26.1219,low,1.54338,1.45662,26.6569,29.8308,29.831,31.8432,7.2647,31.8435,35.8211
4,4,1,2,2,0,5.00E-01,3,1.0,3.0,35.8378,3.0,3,38.5924,high,2.75459,0.245411,39.1209,41.0783,41.0839,43.0907,7.2529,43.091,45.0874
5,5,0,3,2,3,5.00E-01,0,1.0,4.0,45.1133,2.0,3,47.1781,high,2.06483,0.935174,47.7009,50.3602,50.3655,52.3726,7.25927,52.3729,54.3713
6,6,1,3,4,0,3.50E+00,3,1.0,5.0,54.394,2.0,0,55.9142,low,1.52016,1.47984,56.4391,62.6392,62.6394,64.6516,10.2576,64.6519,68.6452
7,7,1,2,2,3,3.50E+00,4,1.0,6.0,68.6721,2.0,3,71.285,low,2.61284,0.38716,71.8205,76.9131,76.9186,78.9411,10.2689,78.9414,80.9222
8,8,1,2,4,0,5.00E-01,3,1.0,7.0,80.944,3.0,3,83.1723,high,2.22835,0.771651,83.7072,86.1949,86.1951,88.2074,7.26336,88.2077,92.1873
9,9,0,2,2,3,5.00E-01,0,1.0,8.0,92.209,2.0,3,94.1423,high,1.93332,1.06668,94.6761,97.46,97.4653,99.4725,7.26347,99.4727,101.469
10,10,0,1,4,3,5.00E-01,0,1.0,9.0,101.482,3.0,0,103.661,low,2.17897,0.82103,104.192,106.726,106.727,108.754,7.27192,108.755,112.732
11,11,0,2,2,3,5.00E-01,0,1.0,10.0,112.749,3.0,0,114.915,low,2.16608,0.833918,115.439,118.005,118.005,120.017,7.26826,120.018,121.999
12,12,0,2,3,0,2,3,1.0,11.0,122.02,2.0,0,124.218,low,2.19812,0.801881,124.754,128.77,128.77,130.782,8.76193,130.783,133.777
13,13,1,1,3,0,3.50E+00,3,1.0,12.0,133.791,3.0,3,136.254,high,2.46378,0.536222,136.781,142.03,142.036,144.042,10.2514,144.042,147.037
14,14,1,3,2,0,5.00E-01,3,1.0,13.0,147.057,3.0,3,149.259,high,2.2023,0.797696,149.791,152.31,152.315,154.322,7.26583,154.323,156.319
15,15,0,3,4,3,5.00E-01,0,1.0,14.0,156.342,2.0,3,158.128,high,1.7865,1.2135,158.652,161.594,161.599,163.606,7.26462,163.607,167.6
16,16,0,2,2,3,2,0,1.0,15.0,167.616,2.0,3,169.632,high,2.01532,0.98468,170.167,174.37,174.375,176.383,8.76625,176.383,178.364
17,17,1,2,2,3,2,0,1.0,16.0,178.378,3.0,0,180.301,low,1.92299,1.07701,180.837,185.118,185.119,187.131,8.75277,187.131,189.128
18,18,0,3,4,0,3.50E+00,3,1.0,17.0,189.153,3.0,3,191.054,high,1.90162,1.09838,191.585,197.413,197.418,199.425,10.2729,199.426,203.403
